INDEX,LIBMIN,PMUN15,SURFACE,DENSITE
578,Sainte-Ode,2463,97.87,25.1660365791
579,Tellin,2453,56.64,43.3086158192
580,Fauvillers,2215,74.11,29.8880043179
581,Biévène,2175,19.78,109.959555106
582,Espierres-Helchin,2143,10.78,198.79406308
583,Rouvroy,2109,27.68,76.1921965318
584,Horebeke,2035,11.20,181.696428571
585,Herbeumont,1954,58.81,33.2256418976
586,Martelange,1777,29.67,59.8921469498
587,Daverdisse,1465,56.40,25.975177305
588,Messines,1049,3.58,293.016759777
589,Herstappe,87,1.35,64.4444444444
