INDEX,LIBMIN,1846-Hab.,1900-Hab.,1947-Hab.,2000-Hab.,2012-Hab.,PMUN15,SURFACE,DENSITE,LAT,LONG
311,Durbuy,7888,8652,7300,9916,11207,11479,156.61,73,50.35306,5.45604
312,Virton,7069,8261,9724,11009,11508,11468,94.49,121,49.5675744,5.5335074
313,Nieuport,4348,4662,6237,10261,11368,11410,31.00,368,51.1284823,2.7480158
314,Alken,2954,3349,5589,10900,11315,11447,28.14,407,50.87609,5.30767
315,Roosdaal,5514,6385,8568,10573,11260,11358,21.69,524,50.8428827,4.0760225
316,Grobbendonk,1777,2421,5568,10449,11047,11151,28.36,393,51.1892618,4.7385712
317,Farciennes,1979,10617,13355,11336,11177,11303,10.39,1088,50.42994,4.5415
318,Staden,9198,10313,10422,10986,10951,11182,46.24,242,50.9746511,3.0145745
319,Berlaar,3386,4718,8469,10150,10960,11169,24.57,455,51.11804,4.65752
320,Melle,2810,5328,8150,10349,11016,11164,15.21,734,51.0036598,3.8003144
321,Hemiksem,3010,5003,9221,9151,10605,11056,5.44,2032,51.14518,4.33834
322,Meulebeke,8871,9185,10127,11055,11086,11032,29.35,376,50.9506,3.28637
323,Retie,2639,2896,4658,9733,10799,11001,48.39,227,51.2669664,5.0842508
324,LaCalamine,,,5986,10121,10874,10987,18.12,606,50.7177895,6.0105938
325,Oud-Heverlee,2421,2755,5177,10522,11046,10987,31.14,353,50.8371647,4.6633371
326,Moorslede,7846,9386,8909,10733,10925,10968,35.34,310,50.891147,3.0632369
327,Vosselaar,866,1333,3578,10015,10700,10961,11.85,925,51.31473,4.88768
328,Libramont-Chevigny,3894,5531,6448,9277,10579,10955,177.86,62,49.9183927,5.3745927
329,Seneffe,10428,11737,9720,10528,11006,10954,62.77,175,50.5333008,4.2565642
330,Rebecq,4635,7666,7771,9877,10550,10901,39.08,279,50.665828,4.1326285
331,Damme,7574,8715,8789,11058,10844,10883,89.52,122,51.2513634,3.2813763
332,Aiseau-Presles,3065,6701,8789,10931,10729,10852,22.19,489,50.4100045,4.586698
333,LaPanne,1278,3071,8182,9722,10748,10826,23.90,453,51.0962794,2.5905629
334,Hoeilaart,2330,3477,6302,9783,10539,10821,20.43,517,50.7674863,4.4740458
335,Écaussinnes,6331,10613,10029,9620,10750,10791,34.77,310,50.5606,4.1724
336,Ingelmunster,5719,6429,9092,10651,10728,10742,16.16,665,50.92325,3.26284
337,Waasmunster,5381,5823,6583,10237,10558,10690,31.93,335,51.1094611,4.0844742
338,Tielt-Winge,4157,5537,7228,9814,10539,10665,44.16,242,50.9226445,4.9148532
339,Ham,2287,2714,5354,9326,10393,10634,32.69,325,51.1038173,5.1777363
340,Borgloon,5499,7067,9094,10116,10495,10590,51.12,207,50.80613,5.34302
341,Raeren,,,5204,9550,10618,10557,74.21,142,50.6770198,6.1097331
342,Spa,3957,8192,9002,10333,10579,10487,39.85,263,50.490369,5.8557382
343,Jurbise,6684,7013,6387,9229,10104,10435,57.86,180,50.5328889,3.9107946
344,Borsbeek,522,1079,3953,10373,10233,10433,3.92,2661,51.1966684,4.4856299
345,Villers-la-Ville,5364,7261,6629,9092,10231,10411,47.45,219,50.5791942,4.5345409
346,Fosses-la-Ville,4661,6574,6442,8750,10037,10353,63.24,164,50.39455,4.69617
347,DePinte,1441,2614,3570,10124,10204,10322,17.98,574,50.99177,3.64936
348,Hulshout,1891,2553,4608,8626,10061,10270,17.35,592,51.0747105,4.7917762
349,Estaimpuis,7879,7803,9762,9538,10066,10249,31.75,323,50.7061525,3.2649737
350,Court-Saint-Étienne,2543,3924,4902,8746,9946,10234,26.64,384,50.6209493,4.5598691
351,Opglabbeek,604,869,2810,9131,10162,10211,24.98,409,51.04316,5.58412
352,Hautem-Saint-Liévin,5983,7698,9278,9171,9985,10197,26.67,382,50.920639,3.8544261
353,Meerhout,3633,4531,7189,9192,9913,10181,36.29,281,51.13219,5.07708
354,Braine-le-Château,3820,5014,5976,8994,9886,10166,22.70,448,50.6802986,4.2689347
355,Plombières,4750,7102,7994,9361,9907,10156,53.18,191,50.7379388,5.9611076
356,Hooglede,7981,7931,7864,9750,9895,10085,37.84,266,50.9786175,3.0815036
357,Montigny-le-Tilleul,2303,4578,6896,10351,10125,10064,15.10,666,50.3816464,4.37553
358,Begijnendijk,2963,3659,6438,9088,9962,10023,17.62,569,51.0188,4.78263
359,Houthulst,6802,8867,7405,8946,9729,9997,55.89,179,50.9773679,2.9456829
360,Niel,3358,7310,10804,8405,9461,9984,5.27,1894,51.11064,4.33207
361,Holsbeek,4289,5343,6564,8857,9724,9975,38.50,259,50.92113,4.75696
362,Neupré,2437,2727,2758,9513,9786,9971,31.69,315,50.54259,5.48091
363,Erquelinnes,4915,7987,10730,9713,9722,9891,44.23,224,50.3073558,4.1113839
364,Chimay,8873,10133,9600,9759,9847,9889,197.10,50,50.04756,4.31472
365,Bierbeek,4841,6425,7552,8822,9609,9876,39.73,249,50.8279,4.75981
366,Welkenraedt,1840,4846,6573,8801,9703,9829,24.47,402,50.66202,5.97458
367,Avelgem,8872,7372,8044,9148,9641,9815,21.75,451,50.7760145,3.445404
368,Pepinster,3146,8327,8521,9292,9726,9796,24.79,395,50.568263,5.8033087
369,Bertem,3746,4729,5793,8843,9638,9768,29.75,328,50.8644751,4.6303588
370,Huldenberg,5128,5343,5534,9009,9528,9662,39.64,244,50.7885995,4.5880687
371,Hoeselt,3035,3629,5889,9133,9588,9616,30.02,320,50.8497352,5.4911006
372,Saint-Vith,,,7350,8941,9451,9589,146.93,65,50.2788486,6.1273655
373,Halen,2889,3978,6395,8216,9352,9541,36.29,263,50.9485,5.11117
374,Lovendegem,5004,4794,6032,9264,9469,9522,19.48,489,51.0953575,3.6059674
375,Ledegem,7443,7135,8014,9344,9509,9494,24.76,383,50.8549568,3.1274573
376,Dessel,1938,2167,5002,8545,9231,9422,27.03,349,51.23985,5.11269
377,Wielsbeke,4766,4840,6615,8911,9188,9497,21.76,434,50.9099425,3.3724874
378,Yvoir,3998,5139,6047,7914,8882,9409,56.84,166,50.3269678,4.8778583
379,Wijnegem,1088,3016,5820,8660,9041,9328,7.86,1187,51.2298182,4.5108974
380,Kapelle-op-den-Bos,2319,3819,5552,8783,9161,9319,15.25,611,51.01324,4.35541
381,LesBonsVillers,5748,7720,6630,8728,9136,9297,42.55,218,50.5427462,4.4476802
382,Philippeville,6207,6468,6489,7939,9001,9245,156.71,59,50.1958462,4.5430358
383,Awans,3890,5539,5540,8270,8998,9223,27.16,340,50.6668399,5.4628842
384,Oudenburg,3987,5648,6799,8810,9110,9221,35.38,261,51.1836719,3.0068753
385,Gooik,6923,7351,7287,8834,9181,9214,39.70,232,50.7952811,4.1180489
386,Juprelle,3902,4912,4447,8145,8997,9213,35.36,261,50.7087893,5.5247464
387,LaBruyère,5152,6356,5492,7836,8923,9085,52.98,171,50.5279949,4.8186282
388,Beauraing,6686,8468,7646,8096,8858,9075,174.55,52,50.1102813,4.9554347
389,Ardooie,9656,8422,9190,9508,9088,9066,34.58,262,50.9767648,3.1991212
390,Lennik,4413,4961,5930,8588,8915,8995,30.80,292,50.8086929,4.161434
391,Bassenge,7237,8341,7037,8176,8806,8979,38.17,235,50.7591324,5.6100672
392,Lint,,1338,2973,7864,8620,8964,5.57,1609,51.1272719,4.4967604
393,Perwez,5938,6187,5242,7057,8249,8854,50.81,174,50.62395,4.81503
394,Herenthout,2402,2761,5083,8302,8747,8803,23.55,374,51.1394506,4.7564892
395,Merksplas,1526,3164,4192,8055,8576,8783,44.56,197,51.3581903,4.8635474
396,Koekelare,5641,7379,7537,8154,8535,8702,39.19,222,51.0929033,2.9795835
397,Orp-Jauche,7115,7166,6683,7437,8387,8695,50.50,172,50.69282,4.98445
398,Bertrix,4779,5857,6871,8054,8494,8631,137.70,63,49.854235,5.2535561
399,Lichtervelde,6003,6535,6682,8270,8512,8628,25.93,333,51.0277074,3.1439095
400,Galmaarden,6737,6647,6897,7741,8535,8615,34.93,247,50.7529396,3.9709478
401,Jalhay,4729,4098,3511,7497,8394,8504,107.75,79,50.5588226,5.9662952
402,Laethem-Saint-Martin,2468,2492,3681,8314,8378,8498,14.34,593,51.0089664,3.6330725
403,Trooz,4162,6919,7508,7689,8076,8471,24.20,350,50.5786521,5.6730779
404,LeRœulx,6372,7829,7995,7931,8191,8442,42.80,197,50.5029,4.1087
405,Zomergem,8857,7135,7108,8245,8214,8395,38.78,216,51.1192868,3.5644511
406,Kortessem,3722,3917,5199,8010,8400,8391,33.90,248,50.8690582,5.4019311
407,Gingelom,4663,7147,8038,7600,8245,8385,56.49,148,50.74988,5.1332
408,Dentergem,7400,6686,7160,7868,8339,8351,25.94,322,50.9636458,3.4186283
409,Léau,4387,6141,7218,7791,8252,8332,46.73,179,50.83231,5.10442
410,Sombreffe,5245,6840,6183,7305,8162,8320,35.78,233,50.52871,4.5884
411,Saint-Amand,4348,4758,6331,7560,8124,8299,15.58,533,51.05595,4.20946
412,Habay,7361,7329,7002,6968,8260,8297,103.64,80,49.7234697,5.6192831
413,Silly,8838,7027,5238,7471,8149,8269,67.68,122,50.6488776,3.9235692
414,Schelle,1460,2250,4972,7743,8088,8218,7.80,1054,51.1269186,4.3388412
415,Knesselare,6757,6654,6931,7794,8216,8184,37.27,220,51.1389261,3.4127817
416,Hove,622,1263,3620,8306,8199,8180,5.99,1366,51.1540043,4.4711513
417,Kruishoutem,9776,8600,6927,7849,8117,8149,46.76,174,50.904499,3.5281414
418,Langemark-Poelkapelle,6555,8186,7365,7656,7981,8134,52.53,155,50.9135674,2.9200127
419,As,596,895,3091,7213,8004,8132,22.07,368,51.0079961,5.5840068
420,Brunehaut,8317,9851,8843,7446,7889,8115,46.11,176,50.5178182,3.3797279
421,Boutersem,3714,4705,5805,7234,7792,8096,30.75,263,50.84109,4.83471
422,Messancy,4108,4876,4881,6902,7999,8083,52.43,154,49.5952655,5.8136164
423,Quévy,7161,8241,7836,7474,7914,8034,65.16,123,50.3632054,3.949875
424,Zwalm,7218,9591,7597,7683,8045,8029,33.82,238,50.8789794,3.7265356
425,Floreffe,3854,5220,6143,7092,7883,7972,38.89,207,50.43405,4.75922
426,Waarschoot,5868,6034,7277,8000,7980,7909,21.91,361,51.1514819,3.6060488
427,Kortenaken,3677,4848,7094,7443,7856,7903,49.06,161,50.8935594,5.0339733
428,Heuvelland,10418,11176,9800,8399,7940,7895,94.24,84,50.77737,2.82716
429,Antoing,8301,9144,9078,7481,7684,7781,31.13,250,50.5672729,3.4513915
430,Vorselaar,1784,2061,4514,7353,7640,7775,27.62,281,51.2025247,4.7708827
431,Oostrozebeke,4420,4461,5498,7317,7556,7722,16.62,465,50.9202012,3.3346008
432,Estinnes,6722,6564,7071,7521,7750,7704,72.73,106,50.4037945,4.1040785
433,Fernelmont,6273,7183,5621,6298,7354,7702,65.61,117,50.552108,4.9855088
434,Vielsalm,5408,6467,6684,7182,7468,7664,139.76,55,50.2840167,5.91469
435,Zingem,8189,6943,7463,6603,7307,7552,23.93,316,50.9013625,3.6526698
436,Wachtebeke,4177,5365,5434,6809,7282,7465,34.53,216,51.17095,3.86055
437,Neufchâteau,3606,4927,4085,6167,7277,7454,113.79,66,49.8417539,5.434177
438,Wellen,3133,3491,4909,6725,7405,7435,26.72,278,50.8404,5.33835
439,LaHulpe,1645,2615,4231,6943,7479,7397,15.60,474,50.7309955,4.4856707
440,Hamois,3880,5049,4300,6462,7070,7495,76.42,98,50.34096,5.15685
441,Chastre,3960,3998,3264,6487,7118,7439,31.27,238,50.60813,4.63569
442,Weismes,,,5065,6503,7110,7425,96.93,77,50.4148914,6.1115604
443,Mont-Saint-Guibert,2163,3066,3033,5871,6912,7319,18.63,393,50.6347043,4.6106474
444,Heers,4636,5849,6849,6575,7103,7242,53.07,136,50.75368,5.30209
445,Dalhem,6248,6431,6340,6145,6996,7225,36.06,200,50.713342,5.7229305
446,Linter,4225,5726,6473,6852,7088,7182,36.37,197,50.84151,5.03661
447,Stavelot,4843,5905,5854,6479,6895,7128,85.07,84,50.3940981,5.9304413
448,Zutendaal,928,956,2032,6755,7074,7129,32.07,222,50.93196,5.57227
449,Gesves,5265,5780,4544,5767,6839,7095,64.92,109,50.4024613,5.0755536
450,Beaumont,7152,6812,5752,6577,7060,7089,92.97,76,50.2371957,4.2393379
451,Anhée,4136,5888,6084,6771,7071,7078,65.67,108,50.31064,4.87829
452,Beauvechain,4990,5321,4301,6199,6824,7037,38.58,182,50.78051,4.77401
453,Assesse,3966,4680,3999,5992,6693,6945,78.16,89,50.3717,5.02227
454,Walhain,4668,4957,4194,5412,6549,6921,37.94,182,50.61654,4.69545
455,Chièvres,6703,6965,6185,6006,6666,6862,46.91,146,50.58597,3.80609
456,Hoegaarden,4466,5126,6206,6014,6739,6848,33.93,202,50.77433,4.89273
457,Hensies,5738,6060,7087,6782,6778,6846,25.99,263,50.432444,3.6844458
458,Nieuwerkerken,2142,2645,3737,6483,6691,6843,22.46,305,50.86475,5.18869
459,Pittem,7595,6881,6107,6629,6763,6807,34.42,198,50.9942781,3.2666707
460,Ittre,4367,5515,5182,5651,6537,6702,34.92,192,50.65021,4.26347
461,Quiévrain,4183,5764,7278,6713,6716,6694,21.22,315,50.407626,3.6828873
462,Saint-Laurent,7900,8718,8055,6513,6640,6653,74.50,89,51.2404591,3.5259689
463,Saint-Georges-sur-Meuse,4540,6303,5764,6785,6529,6624,20.90,317,50.60007,5.35756
464,Hérinnes,7942,6965,6121,6372,6572,6612,44.63,148,50.7248103,4.0280545
465,Lierde,5419,5606,5942,6291,6542,6559,26.13,251,50.8125526,3.8232847
466,Villers-le-Bouillet,4340,6290,4807,5653,6310,6468,32.71,198,50.5699683,5.2662704
467,Kluisbergen,7874,4994,6377,6086,6446,6433,30.38,212,50.7784304,3.4935589
468,Maarkedal,9466,8763,6998,6448,6428,6424,45.63,139,50.80794,3.61833
469,Wortegem-Petegem,9248,7502,5995,6071,6275,6343,41.96,151,50.8445045,3.5268826
470,Kaprijke,6764,6479,5936,6175,6318,6333,33.71,188,51.2187989,3.6174937
471,Moerbeke,4002,5962,5646,5753,6162,6282,37.80,166,51.1734692,3.9342837
472,Ramillies,5844,5388,5065,5295,6201,6214,48.68,128,50.63679,4.91451
473,Braives,5043,6845,5984,5352,5948,6156,44.00,139,50.62823,5.14881
474,Bekkevoort,1977,2842,5403,5726,6079,6076,37.17,164,50.9448,4.9751
475,Geetbets,2903,3870,5140,5793,5947,5992,35.17,170,50.894268,5.1126993
476,Engis,2338,4274,5834,5689,5809,5976,27.74,215,50.5832252,5.4037136
477,Viroinval,5500,7205,6243,5623,5810,5962,120.90,49,50.0714722,4.6059942
478,Ellezelles,9495,8555,6549,5580,5901,5916,44.69,133,50.7337608,3.6799142
479,Limbourg,2687,6188,5877,5495,5776,5867,24.63,238,50.6203121,5.9418935
480,Nandrin,2618,3306,2785,5376,5727,5814,35.90,162,50.5071457,5.4198465
481,Butgenbach,,,3977,5550,5731,5608,97.31,58,50.4266339,6.2042885
482,Hastière,2651,3287,4076,4976,5703,5896,56.46,104,50.1961323,4.836114
483,Remicourt,2686,3749,4454,4753,5709,5867,22.58,260,50.6802,5.32844
484,Lendelede,3828,3619,4452,5502,5684,5748,13.15,437,50.8862994,3.2381931
485,Lobbes,4033,4867,4811,5520,5693,5747,32.08,179,50.3520052,4.2665184
486,Hotton,2631,3000,3016,4890,5448,5714,57.32,100,50.26728,5.44568
487,Étalle,4449,4535,3578,4890,5684,5688,78.10,73,49.673826,5.6002831
488,Thimister-Clermont,4576,3977,3663,5075,5496,5686,28.69,198,50.6542116,5.8640147
489,Lontzen,,,3433,5010,5516,5668,28.73,197,50.68113,6.00716
490,Bullange,,,4539,5287,5532,5654,150.49,38,50.4071499,6.2574774
491,Saint-Hubert,4621,5933,5618,5727,5647,5625,111.16,51,50.0260067,5.3727272
492,Pecq,6493,5838,5467,5157,5552,5580,32.91,170,50.6854685,3.3386962
493,Florenville,6969,6491,5604,5546,5512,5566,146.91,38,49.6977116,5.3119224
494,Celles,10057,8282,6632,5415,5553,5559,67.14,83,50.7125367,3.4574924
495,Amblève,,,4082,5069,5459,5528,44,,50.3541847,6.1694355
496,Vaux-sur-Sûre,4113,4699,4353,4176,5235,5446,135.87,40,49.9105504,5.5671709
497,Bouillon,6880,6744,6325,5465,5427,5432,149.09,36,49.7946641,5.0707587
498,Nassogne,4508,4712,4075,4760,5306,5408,111.96,48,50.1285782,5.3426393
499,Marchin,2912,6392,5019,4935,5231,5396,30.00,180,50.46517,5.24204
500,Gouvy,4718,5975,5936,4581,5017,5385,165.11,33,50.1852034,5.9406801
501,Attert,4727,4673,3105,4118,5166,5382,70.94,76,49.7506889,5.7865368
502,Glabbeek,2906,3835,4720,5071,5269,5381,26.78,201,50.8729134,4.9488142
503,Momignies,5997,6365,5650,5128,5296,5328,85.58,62,50.0262706,4.1661787
504,Paliseul,2977,4651,5026,5006,5220,5316,112.96,47,49.9037207,5.1345355
505,Comblain-au-Pont,1631,4469,5117,5189,5358,5312,22.68,234,50.4754052,5.57481
506,Somme-Leuze,3721,3423,2696,4170,5027,5293,95.09,56,50.3399089,5.3700431
507,Ruiselede,6773,6528,5567,5048,5174,5263,30.20,174,51.0413098,3.3970513
508,Drogenbos,592,1335,3661,4693,5013,5246,2.49,2107,50.7875382,4.3164506
509,Honnelles,6477,7270,6169,5052,5058,5189,43.65,119,50.366628,3.6942525
510,Houffalize,5778,6468,5142,4501,5044,5189,166.58,31,50.1324333,5.7907691
511,Chiny,5989,5711,4676,4885,5167,5174,113.69,46,49.7405487,5.3427691
512,Héron,4529,5479,4473,4195,5000,5164,38.32,135,50.5506312,5.0978682
513,Rumes,4928,6278,5521,5064,5134,5155,23.72,217,50.5540194,3.3055671
514,Havelange,4724,6064,5119,4622,5051,5065,104.73,48,50.38632,5.24429
515,Alveringem,10270,9676,7728,4805,4990,5011,80.01,63,51.0123224,2.7095311
516,Sivry-Rance,5870,5737,4540,4506,4912,4856,72.97,67,50.1699509,4.1813855
517,Incourt,5177,4428,3539,4114,4903,5229,38.79,135,50.69188,4.7966
518,Léglise,3114,3834,4006,3701,4796,5160,172.92,30,49.8000238,5.5376254
519,Libin,3998,4183,4113,4341,4908,5069,139.72,36,49.9815451,5.2572
520,Ohey,3989,4575,3557,4063,4798,4978,56.62,88,50.4366759,5.1246042
521,Cerfontaine,4502,4731,4315,4334,4837,4867,83.45,58,50.1692339,4.4106574
522,Ferrières,2995,3220,2943,4208,4715,4846,56.90,86,50.40029,5.60564
523,Linkebeek,1206,1795,3050,4751,4787,4737,4.15,1145,50.7660264,4.3456087
524,Houyet,4728,6355,4993,4433,4646,4709,122.31,39,50.1854752,5.009969
525,Clavier,3633,4513,4222,4120,4462,4510,79.12,57,50.4114801,5.3635498
526,Musson,2513,2675,2677,3893,4431,4495,34.81,129,49.5581782,5.7057125
527,Gedinne,4727,5517,4596,4344,4457,4485,151.56,30,49.98081,4.93707
528,Pepingen,4688,4567,3912,4247,4417,4392,36.05,122,50.75857,4.1642
529,Lens,6428,5120,4107,3729,4277,4388,49.42,89,50.5566281,3.9005909
530,Baelen,2971,2940,2796,3852,4312,4375,85.73,51,50.6301763,5.9692046
531,Merbes-le-Château,3166,3696,3922,4032,4251,4306,30.24,142,50.3244188,4.1645213
532,Aubel,3202,2921,3067,3851,4138,4233,18.83,225,50.7021296,5.8592295
533,Tintigny,3629,3697,3141,3436,3969,4221,81.79,52,49.6833444,5.5131279
534,Modave,2461,4090,3238,3588,4029,4191,40.37,104,50.4423889,5.3007183
535,LaRoche-en-Ardenne,5070,5864,4602,4107,4247,4162,147.52,28,50.181616,5.5759208
536,Anthisnes,2967,3517,3068,3881,4097,4091,37.08,110,50.4820509,5.5194711
537,Fourons,4134,4189,4416,4315,4157,4089,50.63,81,50.7587669,5.7610934
538,Verlaine,2101,2694,2188,3429,3918,4079,24.21,168,50.60633,5.31729
539,Froidchapelle,3326,3574,3038,3315,3831,3969,86.03,46,50.1500253,4.3282158
540,Burg-Reuland,,,4278,3787,3998,3954,108.96,36,50.1954118,6.1361698
541,Olne,3025,3178,2348,3731,3818,3921,15.99,245,50.5900615,5.7465679
542,Hamoir,1668,2364,2757,3510,3798,3896,27.80,140,50.4267955,5.5315795
543,Faimes,2628,3356,2742,3155,3777,3894,28.48,137,50.66183,5.26009
544,Oreye,2253,3100,2929,3317,3635,3799,19.64,193,50.73175,5.3577
545,Mont-de-l'Enclus,4405,3409,3525,3172,3579,3723,26.93,138,50.7403202,3.5052669
546,Brugelette,4970,4530,3591,3344,3501,3624,28.40,128,50.5991633,3.8545198
547,Vleteren,4242,4972,4546,3593,3712,3624,38.15,95,50.9296908,2.7327547
548,Lierneux,3633,4738,4362,3317,3493,3578,92.08,39,50.2848031,5.7950312
549,Saint-Léger,2572,3399,2279,3192,3361,3547,35.86,99,49.6119564,5.6566551
550,Flobecq,5140,4009,3465,3194,3483,3464,23.00,151,50.7367,3.73852
551,Manhay,3604,3514,2895,2885,3313,3463,119.81,29,50.2908885,5.6614499
552,Bertogne,2862,3526,3177,2724,3212,3440,91.67,38,50.0848665,5.6681775
553,Geer,2426,2956,2686,2570,3199,3388,23.62,143,50.6701762,5.1828092
554,Érezée,2983,3176,2844,2745,3089,3361,78.44,43,50.29172,5.55853
555,Hélécine,2113,3433,3132,2848,3274,3337,16.62,201,50.7497791,4.9829359
556,Lo-Reninge,5927,5798,4424,3217,3299,3274,62.94,52,50.9688486,2.7818969
557,Lincent,2118,2908,2826,2806,3200,3272,14.75,222,50.7128616,5.0305803
558,Fexhe-le-Haut-Clocher,1413,2200,2524,2930,3224,3258,19.25,169,50.665333,5.3994597
559,Bièvre,2775,3701,3601,3140,3218,3215,109.59,29,49.9414154,5.0165882
560,Crisnée,1958,2362,2300,2584,3087,3234,16.83,192,50.7174005,5.3977268
561,Onhaye,3475,3353,2631,3011,3148,3163,65.53,48,50.2415081,4.8398572
562,Burdinne,3202,3536,2684,2709,2986,3138,32.57,96,50.58411,5.07643
563,Stoumont,3886,3820,3040,2873,3079,3122,108.45,29,50.4068434,5.8086125
564,Donceel,1841,2510,2096,2653,2962,3022,23.31,130,50.64577,5.32138
565,Berloz,1552,2341,2641,2620,2924,3021,14.49,208,50.69875,5.21265
566,Wellin,2049,2541,2386,2837,3001,3021,67.52,45,50.0818972,5.1137991
567,Doische,2987,3495,3178,2840,2919,2928,84.02,35,50.1362261,4.7461199
568,Wasseiges,2980,3187,2197,2241,2718,2854,24.45,117,50.61754,5.00162
569,Tenneville,2382,2567,2314,2449,2697,2804,91.81,31,50.092027,5.5245671
570,Rendeux,3336,3530,2522,2217,2502,2782,68.83,40,50.2348339,5.5081521
571,Ouffet,1731,2595,2215,2474,2749,2767,40.22,69,50.4381,5.46538
572,Vresse-sur-Semois,4669,4399,3543,2810,2743,2749,101.04,27,49.8725882,4.9326558
573,Meix-devant-Virton,3644,3337,2609,2691,2742,2741,54.20,51,49.6056457,5.4780041
574,Zuienkerke,2399,2800,2634,2790,2760,2721,48.86,56,51.2649386,3.153933
575,Bar-le-Duc,1007,1028,1742,2120,2592,2694,7.48,360,51.4418,4.9317
576,Tinlot,1739,2251,1940,2184,2594,2649,37.12,71,50.4777355,5.378818
577,Trois-Ponts,2004,2410,2260,2346,2542,2545,68.90,37,50.3717154,5.8703455
578,Sainte-Ode,2112,2444,2426,2181,2415,2463,97.87,25,50.02683,5.54655
579,Tellin,1617,2376,2173,2229,2478,2453,56.64,43,50.0833973,5.2208099
580,Fauvillers,2582,2621,2005,1838,2216,2215,74.11,30,49.851562,5.6627735
581,Biévène,3425,2664,1918,1980,2171,2175,19.78,110,50.7169522,3.9406874
582,Espierres-Helchin,2187,2514,1897,1858,2110,2143,10.78,199,50.7297543,3.3595085
583,Rouvroy,1912,1998,1711,1877,2076,2109,27.68,76,49.53812,5.49189
584,Horebeke,2812,2449,2277,1968,2058,2035,11.20,182,50.8372,3.68672
585,Herbeumont,2433,2499,1924,1434,1559,1954,58.81,33,49.78095,5.2376
586,Martelange,1116,1638,1604,1428,1719,1777,29.67,60,49.8324009,5.7402041
587,Daverdisse,1521,1992,1710,1360,1405,1465,56.40,26,50.0202615,5.1182212
588,Messines,1423,1434,1088,964,952,1049,3.58,293,50.7638555,2.8976699
589,Herstappe,135,148,134,85,87,87,1.35,64,50.72653,5.426
