INDEX,LIBMIN,1846-Hab.,1900-Hab.,1947-Hab.,2000-Hab.,2012-Hab.,PMUN15,SURFACE,DENSITE,LAT,LONG
71,Wevelgem,11449,15911,23433,31374,31076,31344,38.76,809,50.8089296,3.1836033
72,Ottignies-Louvain-la-Neuve,3349,4314,6789,27380,31182,31242,32.96,948,50.6657252,4.5868116
73,Asse,8514,11127,16841,27931,30875,32133,49.64,647,50.909373,4.2005478
74,Audenarde,21183,21954,25396,27788,30248,30875,68.06,454,50.8469547,3.6013676
75,Courcelles,10471,28861,30461,29706,30502,30976,44.24,700,50.463298,4.3740548
76,Tongres,13351,17654,24197,29723,30557,30728,87.56,351,50.78419,5.47449
77,Houthalen-Helchteren,2223,2220,8430,29215,30356,30668,78.27,392,51.0312424,5.3765453
78,Deinze,15929,16948,19886,27559,29724,30434,75.53,403,50.9875406,3.5235857
79,Waterloo,3202,3976,7598,28986,29731,29533,21.03,1404,50.71469,4.3991
80,Aerschot,8905,13032,19974,27495,28755,29335,62.52,448,50.9859959,4.8365218
81,Tamise,10977,18508,20896,25533,28889,29221,39.91,732,51.12955,4.21275
82,Arlon,10981,16478,17387,24791,28289,29053,118.64,245,49.6851364,5.8104804
83,Ath,25660,27349,23508,25430,28526,28812,126.95,227,50.6304302,3.776992
84,Ans,6887,12293,21752,27528,27769,28338,23.35,1214,50.65694,5.52855
85,Brecht,3681,6238,11097,25091,27906,28268,90.84,311,51.3496533,4.6377227
86,Sambreville,7537,18946,25556,27197,27507,27918,34.20,817,50.446734,4.630735
87,Saint-Josse-ten-Noode,14850,32140,28155,22097,27134,27775,1.14,24364,50.8537715,4.3704657
88,Herentals,5958,9327,17566,25474,27368,27675,48.56,570,51.1768541,4.8355946
89,Nivelles,10388,13457,13853,23751,26819,27739,60.60,458,50.59787,4.32851
90,Harelbeke,8276,11112,18243,26320,26957,27455,29.14,942,50.8567031,3.3106757
91,Izegem,11873,16204,22559,26532,27363,27447,25.48,1077,50.9180785,3.2132192
92,Soignies,17373,20875,20130,24582,26502,27059,110.30,245,50.5764245,4.0706869
93,Kapellen,2504,4072,9680,25671,26546,26993,37.11,727,51.3140004,4.4324004
94,Andenne,12335,20750,21284,23529,25702,26099,86.17,303,50.4911522,5.0964543
95,Flémalle,9806,15580,18060,25777,25593,26049,36.68,710,50.60187,5.44335
96,Lanaken,5596,7305,13257,23500,25599,25937,59.00,440,50.8919647,5.6572276
97,Zottegem,15151,18591,22629,24574,25398,25838,56.66,456,50.8695469,3.8107086
98,Renaix,12197,19936,25924,23849,25403,25809,34.48,749,50.7505367,3.6005095
99,Willebroek,6276,14122,20278,22508,24825,25523,27.41,931,51.05983,4.36404
100,Mortsel,1526,3463,16445,25086,25143,25462,7.78,3273,51.1691158,4.4662486
101,Maaseik,6384,7613,13161,22852,24828,25141,76.91,327,51.0983909,5.7837625
102,Overijse,4904,6249,9610,23738,24716,24782,44.43,558,50.77381,4.53475
103,Westerlo,5730,7054,12295,21960,24379,24623,55.13,447,51.08995,4.91434
104,Oupeye,8063,11126,12905,23720,24302,24692,36.11,684,50.7084747,5.6468265
105,Hamme,13038,17834,21043,22685,24436,24621,40.21,612,51.090201,4.1402689
106,Watermael-Boitsfort,3950,6520,19683,24773,24303,24529,12.93,1897,50.7881573,4.4180065
107,Beersel,6130,10473,14050,22880,24244,24792,30.01,826,50.7669262,4.3084744
108,Zwevegem,15145,14959,17543,23489,24209,24301,63.24,383,50.8129259,3.332698
109,Gembloux,11729,14759,15378,20484,24153,25232,95.86,263,50.56515,4.68843
110,Wetteren,10954,16849,22071,22795,24130,24893,36.68,679,51.0029052,3.8896697
111,Tubize,5424,9658,14694,21461,24108,25255,32.66,773,50.69054,4.2026
112,Merelbeke,7429,9797,14321,21786,23505,24064,36.65,657,50.9945496,3.7456402
113,Ganshoren,1015,2872,9092,19757,23383,24086,2.46,9791,50.8729866,4.3093326
114,Saint-Nicolas,3812,22815,25795,23101,23320,23955,6.84,3502,51.1558839,4.154441
115,Diest,12613,13965,16114,22132,23259,23455,58.20,403,50.98965,5.05016
116,Maldegem,11966,14808,18106,22036,23126,23492,94.64,248,51.2090702,3.44868
117,Saint-Ghislain,11288,16595,19167,22096,23004,22917,70.18,327,50.4491086,3.8183757
118,Berchem-Sainte-Agathe,672,1845,11180,18735,22931,23882,2.95,8095,50.8657821,4.2925975
119,Oostkamp,9936,12882,14511,21218,22764,23138,79.65,290,51.1545363,3.2332169
120,Fleurus,10099,18213,20328,22380,22594,22933,59.28,387,50.4822605,4.5511869
121,Manage,4445,16079,19387,21812,22501,22890,19.60,1168,50.50303,4.23529
122,Scherpenheuvel-Zichem,6052,8551,14650,21720,22592,22823,50.50,452,50.9890432,4.9776281
123,Zemst,5858,7865,11607,20553,22249,22779,42.83,532,50.985535,4.4558434
124,Grâce-Hollogne,5619,7109,6400,22503,22009,22614,34.24,643,50.63412,5.47566
125,Nijlen,4224,5576,12343,20423,22065,22558,39.09,577,51.1613664,4.6705129
126,Zedelgem,8116,11333,13691,22020,22320,22450,60.34,372,51.1421779,3.1368396
127,Coxyde,2454,4476,8807,19729,22153,22139,43.96,504,51.1055159,2.6501419
128,Lochristi,8889,9934,12976,18907,21779,22064,60.34,366,51.0974612,3.8378242
129,Balen,4841,6572,13057,19290,21570,22014,72.88,302,51.1708903,5.1668282
130,Rixensart,3024,4051,9903,21271,21883,22013,17.54,1255,50.7156249,4.5310355
131,Frameries,12762,22277,23343,20679,21253,21837,25.95,841,50.41094,3.89551
132,Zoersel,1714,1876,3343,20164,21555,21739,38.65,562,51.2682227,4.7125694
133,Koekelberg,2198,10650,15103,16211,20661,21577,1.17,18442,50.8633811,4.330338
134,Tervueren,4295,5869,10072,20181,21236,21523,32.92,599,50.8259264,4.5077781
135,Braine-le-Comte,10509,13231,14786,19084,21327,21473,84.68,254,50.60936,4.13484
136,Huy,11580,19028,17823,19056,21205,21433,47.74,449,50.5187153,5.2396656
137,Edegem,1100,1688,7856,22253,21064,21363,8.65,2470,51.1559541,4.4318937
138,Zonhoven,2759,2918,7484,18940,20887,21213,39.34,540,50.98707,5.36716
139,Hoogstraten,6376,7549,11287,17751,20386,21116,105.32,200,51.4021866,4.7619387
140,Herent,4854,8069,12541,18848,20642,21073,32.73,644,50.9092247,4.6768701
141,Chaudfontaine,5182,8074,9381,20607,20944,20980,25.52,822,50.586545,5.6394323
142,Bornem,9539,12054,16240,19939,20866,20952,45.76,458,51.0996057,4.2404586
143,Kontich,4358,5880,10609,19874,20739,20913,23.67,884,51.1352386,4.4450065
144,Zele,11450,12932,16330,20394,20762,20854,33.06,631,51.0700765,4.0403498
145,Eeklo,8927,12897,16903,19069,20274,20701,30.05,689,51.1852719,3.5638899
146,Colfontaine,14785,26569,26490,20480,20430,20616,13.62,1514,50.41423,3.84598
147,Wavre-Sainte-Catherine,5528,8030,14856,19038,20349,20446,36.12,566,51.07045,4.53136
148,Torhout,8477,10146,12223,18838,20149,20383,45.23,451,51.06498,3.10157
149,Dilsen-Stokkem,4418,5744,10741,18187,19947,20214,65.61,308,51.0301998,5.7000888
150,Westwesel,3860,4877,9229,17552,19547,20145,89.43,225,51.38945,4.5912313
151,Tielt,17064,16548,18702,19208,19922,20087,68.50,293,51.0001519,3.3263821
152,Aalter,12675,13342,11739,18509,19860,20072,81.92,245,51.087349,3.448371
153,Blankenberge,2868,6774,12109,17414,19337,19984,17.41,1147,51.3123743,3.1327685
154,Poperinge,20323,21885,21886,19254,19989,19964,119.33,167,50.8549596,2.7267929
155,Boussu,9141,21262,23124,20059,19896,19859,20.01,992,50.43349,3.79559
156,Erpe-Mere,9600,11892,15529,19249,19475,19735,34.03,580,50.914137,3.9568328
157,Kortenberg,4516,6267,9544,17355,19391,19627,34.52,569,50.8884334,4.5440302
158,Denderleeuw,4095,6196,11633,16984,19069,19579,13.77,1422,50.8846118,4.0760221
159,Eupen,,,15996,17516,18949,19477,103.74,188,50.6292029,6.0337111
160,Schilde,2005,2748,5298,19562,19472,19347,35.99,538,51.2407352,4.5834231
