LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Zandvoort,473,NorthHolland,16588,519,43.97,52.3711487,4.533355
Zederik,707,SouthHolland,13661,182,76.5,51.9255584,5.0136328
Zeewolde,50,Flevoland,21543,86,268.86,52.331128,5.540495
Zeist,355,Utrecht,61337,1262,48.65,52.0906015,5.2332526
Zevenaar,299,Gelderland,32254,609,58,51.9294445,6.076959
Zoetermeer,637,SouthHolland,123614,3540,37.05,52.060669,4.494025
Zoeterwoude,638,SouthHolland,8089,384,21.96,52.1208305,4.5165697
Zuidhorn,56,Groningen,18767,149,128.37,53.2431482,6.4081044
Zuidplas,1892,SouthHolland,40878,685,62.42,52.0389865,4.6397094
Zundert,879,NorthBrabant,21374,176,121.17,51.4707015,4.6623558
Zutphen,301,Gelderland,47154,1150,42.93,52.142736,6.1960584
Zwartewaterland,1896,Overijssel,22148,267,87.86,52.6015125,6.0596251
Zwijndrecht,642,SouthHolland,44546,2187,22.77,51.8105978,4.6272719
Zwolle,193,Overijssel,123211,1091,119.36,52.5167747,6.0830219
