LIBMIN,CBS,PROVINCE,PMUN14,DENSITE,SURFACE,LAT,LONG
Echt-Susteren,1711,Limburg,31940,312,104.53,51.093224,5.9073645
Edam-Volendam,385,NorthHolland,28934,1760,24.78,52.5045411,5.045998
Ede,228,Gelderland,110657,342,318.62,52.0401675,5.6648594
Eemnes,317,Utrecht,8773,284,33.7,52.2537461,5.2612754
Eemsmond,1651,Groningen,15910,86,543.35,53.4003443,6.6484102
Eersel,770,NorthBrabant,18201,220,83.33,51.3578078,5.3159125
Eijsden-Margraten,1903,Limburg,24980,323,78.32,50.7773424,5.7077516
Eindhoven,772,NorthBrabant,220782,2476,88.87,51.441642,5.4697225
Elburg,230,Gelderland,22658,351,65.91,52.4492631,5.8345193
Emmen,114,Drenthe,108003,324,346.25,52.7858037,6.8975851
Enkhuizen,388,NorthHolland,18395,1471,116.25,52.7153849,5.2846831
Enschede,153,Overijssel,158542,1121,142.72,52.2215372,6.8936619
Epe,232,Gelderland,32352,208,157.37,52.3450173,5.9836544
Ermelo,233,Gelderland,26080,305,87.33,52.2986655,5.6296194
Etten-Leur,777,NorthBrabant,42351,760,55.92,51.5868855,4.6671384
Ferwerderadiel,1722,Friesland,8771,90,133.18,53.3378335,5.8238353
Franekeradeel,70,Friesland,20437,200,109.17,53.1972839,5.5395644
DeFryskeMarren,1940,Friesland,51223,142,559.93,53.1641642,5.7817542
Geertruidenberg,779,NorthBrabant,21597,806,29.64,51.7023659,4.8499781
Geldermalsen,236,Gelderland,26339,263,101.73,51.8820038,5.2910872
Geldrop-Mierlo,1771,NorthBrabant,38854,1247,31.39,51.4324472,5.5829701
Gemert-Bakel,1652,NorthBrabant,29354,237,123.34,51.5223418,5.7359912
Gennep,907,Limburg,17285,364,50.42,51.6978545,5.9726751
Giessenlanden,689,SouthHolland,14423,228,65.11,51.8657355,4.9243453
GilzeenRijen,784,NorthBrabant,26013,391,65.66,51.5598545,4.9092542
Goeree-Overflakkee,1924,SouthHolland,48233,184,422.34,51.7591966,4.1169809
Goes,664,Zeeland,36977,398,101.92,51.5046455,3.8911304
Goirle,785,NorthBrabant,23060,542,42.34,51.5236773,5.0641948
Gorinchem,512,SouthHolland,35252,1855,21.93,51.8372247,4.9758292
Gouda,513,SouthHolland,70923,4225,18.11,52.0115205,4.7104633
Grave,786,NorthBrabant,12696,471,28.03,51.7589248,5.7383579
TheHague,518,SouthHolland,508592,6131,98.12,52.0704978,4.3006999
Groningen,14,Groningen,198108,2474,83.75,53.2193835,6.5665018
Grootegast,15,Groningen,12193,141,87.74,53.2111322,6.2745889
Gulpen-Wittem,1729,Limburg,14492,198,73.35,50.8009343,5.8972878
Haaksbergen,158,Overijssel,24357,233,105.5,52.1581512,6.7473399
Haaren,788,NorthBrabant,13578,236,58.56,51.6021331,5.2267124
Haarlem,392,NorthHolland,155205,5195,32.09,52.3873878,4.6462194
HaarlemmerliedeenSpaarnwoude,393,NorthHolland,5547,284,21.19,52.4143521,4.6928482
Haarlemmermeer,394,NorthHolland,144166,806,185.29,52.3003784,4.6743594
Halderberge,1655,NorthBrabant,29379,393,75.21,51.586263,4.513956
Hardenberg,160,Overijssel,59592,190,317.14,52.5754084,6.6166947
Harderwijk,243,Gelderland,45741,1177,48.27,52.3422025,5.6367423
Hardinxveld-Giessendam,523,SouthHolland,17736,1043,19.35,51.8324299,4.8336405
Haren,17,Groningen,18790,405,50.73,53.1718265,6.6052429
Harlingen,72,Friesland,15810,633,387.67,53.1746381,5.4251517
Hattem,244,Gelderland,11742,511,24.16,52.4739306,6.0681758
Heemskerk,396,NorthHolland,39092,1441,31.67,52.514146,4.6821367
Heemstede,397,NorthHolland,26320,2848,9.64,52.3510634,4.6203004
Heerde,246,Gelderland,18515,232,80.42,52.3909176,6.049638
Heerenveen,74,Friesland,49388,273,187.76,52.9605613,5.9205217
Heerhugowaard,398,NorthHolland,53246,1367,39.99,52.662677,4.8324767
