INDEX,LIBMIN,PMUN15,SURFACE,DENSITE,LAT,LONG
431,Oostrozebeke,7722,16.62,464.620938628,50.9202012,3.3346008
432,Estinnes,7704,72.73,105.926027774,50.4037945,4.1040785
433,Fernelmont,7702,65.61,117.39064167,50.552108,4.9855088
434,Vielsalm,7664,139.76,54.836863194,50.2840167,5.91469
435,Zingem,7552,23.93,315.587129127,50.9013625,3.6526698
436,Wachtebeke,7465,34.53,216.188821315,51.17095,3.86055
437,Neufchâteau,7454,113.79,65.5066350294,49.8417539,5.434177
438,Wellen,7435,26.72,278.255988024,50.8404,5.33835
439,LaHulpe,7397,15.60,474.166666667,50.7309955,4.4856707
440,Hamois,7495,76.42,98.0764197854,50.34096,5.15685
441,Chastre,7439,31.27,237.895746722,50.60813,4.63569
442,Weismes,7425,96.93,76.6016713092,50.4148914,6.1115604
443,Mont-Saint-Guibert,7319,18.63,392.860976919,50.6347043,4.6106474
444,Heers,7242,53.07,136.461277558,50.75368,5.30209
445,Dalhem,7225,36.06,200.360510261,50.713342,5.7229305
446,Linter,7182,36.37,197.470442673,50.84151,5.03661
447,Stavelot,7128,85.07,83.7898201481,50.3940981,5.9304413
448,Zutendaal,7129,32.07,222.294979732,50.93196,5.57227
449,Gesves,7095,64.92,109.288354898,50.4024613,5.0755536
450,Beaumont,7089,92.97,76.2504033559,50.2371957,4.2393379
451,Anhée,7078,65.67,107.781330897,50.31064,4.87829
452,Beauvechain,7037,38.58,182.400207361,50.78051,4.77401
453,Assesse,6945,78.16,88.8561924258,50.3717,5.02227
454,Walhain,6921,37.94,182.41960991,50.61654,4.69545
455,Chièvres,6862,46.91,146.280110851,50.58597,3.80609
456,Hoegaarden,6848,33.93,201.827291482,50.77433,4.89273
457,Hensies,6846,25.99,263.409003463,50.432444,3.6844458
458,Nieuwerkerken,6843,22.46,304.674977738,50.86475,5.18869
459,Pittem,6807,34.42,197.76292853,50.9942781,3.2666707
460,Ittre,6702,34.92,191.924398625,50.65021,4.26347
461,Quiévrain,6694,21.22,315.457115928,50.407626,3.6828873
462,Saint-Laurent,6653,74.50,89.3020134228,51.2404591,3.5259689
463,Saint-Georges-sur-Meuse,6624,20.90,316.937799043,50.60007,5.35756
464,Hérinnes,6612,44.63,148.151467623,50.7248103,4.0280545
465,Lierde,6559,26.13,251.014159969,50.8125526,3.8232847
466,Villers-le-Bouillet,6468,32.71,197.737694895,50.5699683,5.2662704
467,Kluisbergen,6433,30.38,211.751152074,50.7784304,3.4935589
468,Maarkedal,6424,45.63,140.784571554,50.80794,3.61833
469,Wortegem-Petegem,6343,41.96,151.167778837,50.8445045,3.5268826
470,Kaprijke,6333,33.71,187.86710175,51.2187989,3.6174937
471,Moerbeke,6282,37.80,166.19047619,51.1734692,3.9342837
472,Ramillies,6214,48.68,127.649958915,50.63679,4.91451
473,Braives,6156,44.00,139.909090909,50.62823,5.14881
474,Bekkevoort,6076,37.17,163.465160075,50.9448,4.9751
