LIBMIN,PMUN13,SURFACE,DENSITE,LAT,LONG
Cressier(FR),848,4.2,203.4,46.8988241,7.1400445
Cressier(NE),1930,8.6,225.7,47.050861,7.0373624
Crésuz,305,1.8,171.3,46.6212325,7.1419918
Crissier,7526,5.5,1365.9,46.5518687,6.5743458
Croglio,883,4.4,201.6,45.9915834,8.8386951
Cronay,351,6.6,53.3,46.7571978,6.6968245
Croy,319,4.5,71.2,46.6940322,6.4771608
Cuarnens,409,7.1,57.3,46.6247604,6.4388657
Cuarny,195,4.6,42.7,46.7704322,6.6893549
Cudrefin,1431,15.9,90.5,46.9529982,7.0231305
Cugnasco-Gerra,2898,35.8,81.1,46.166667,8.916667
Cugy(FR),1510,9.9,153.1,46.8147442,6.8916487
Cugy(VD),2703,2.9,932.1,46.5851396,6.6402929
Cunter,248,7.1,34.8,46.607274,9.5916708
Cureglia,1299,1.1,1225.5,46.0371189,8.945431
Curio,544,2.9,188.9,46.0022036,8.8627718
Curtilles,309,5.0,62.4,46.699182,6.8495318
Dachsen,1984,2.7,732.1,47.6660626,8.6160024
Dägerlen,977,8.0,122.7,47.5564195,8.7302702
Dällikon,3768,4.5,837.3,47.4396735,8.4381325
Däniken,2785,5.4,514.8,47.3548887,7.9821872
Dänikon,1955,2.8,681.2,47.4458065,8.4051088
Därligen,415,6.9,60.1,46.6618804,7.8082081
Därstetten,840,32.8,25.6,46.6591694,7.4932504
Dättlikon,756,2.9,261.6,47.5250347,8.6235455
Dagmersellen,5095,23.9,213.2,47.2128386,7.9893353
Daillens,916,5.5,165.9,46.6205182,6.5485233
Dallenwil,1796,15.5,116.1,46.933509,8.3905918
Dalpe,192,14.5,13.2,46.4773556,8.7728337
Damphreux,179,5.7,31.6,47.4762126,7.1027456
Dardagny,1510,8.6,175.6,46.1947347,5.9949263
Davos,11211,284.0,39.5,46.8027453,9.8359701
Degersheim,3973,14.4,274.8,47.3738511,9.2003081
DeisswilbeiMünchenbuchsee,84,2.1,39.1,47.0344955,7.4557248
Deitingen,2258,7.6,295.5,47.21378,7.62088
Delémont,12186,22.0,554.2,47.365837,7.3451555
Delley-Portalban,1016,7.3,139.9,46.917889,6.9560023
Démoret,121,4.3,28.3,46.7473825,6.7567152
Denens,673,3.3,204.6,46.51844,6.45656
Denges,1621,1.7,976.5,46.5248345,6.5414283
Densbüren,683,12.6,54.6,47.4541627,8.0535125
Derendingen,6096,5.6,1084.7,47.1952433,7.5855931
Develier,1421,12.5,114.0,47.3581278,7.2962254
Diegten,1607,9.7,166.7,47.413336,7.8112119
Dielsdorf,5888,5.9,1004.8,47.4824169,8.4535043
Diemerswil,188,2.8,65.7,47.01946,7.4280154
Diemtigen,2154,130.0,16.6,46.6588931,7.5767583
Diepflingen,690,1.4,479.2,47.446398,7.8373699
Diepoldsau,6066,11.2,541.6,47.385988,9.6547802
Dierikon,1462,2.8,525.9,47.0972269,8.3668411
DiessbachbeiBüren,950,6.3,150.6,47.1079225,7.3617601
Diessenhofen,3614,10.0,357.1,47.6895309,8.7494398
Dietikon,25426,9.3,2725.2,47.4053885,8.39977
Dietlikon,7238,4.2,1707.1,47.4251986,8.6162283
Dietwil,1286,5.5,233.8,47.1488021,8.3920498
Dinhard,1497,7.1,212.0,47.5551167,8.7695628
Dintikon,2110,3.7,565.7,47.3644751,8.2280787
Disentis/Mustér,2064,91.1,22.7,46.7051127,8.8523754
Dittingen,771,6.7,114.2,47.4408378,7.4975373
Dizy,225,3.1,74.0,46.6339032,6.4956006
Dörflingen,933,5.8,160.3,47.7097116,8.7219004
Döttingen,3826,7.0,552.9,47.570768,8.2588195
Domat/Ems,7554,24.2,311.9,46.8336355,9.4473545
Domdidier,2936,8.9,329.5,46.8670616,7.0135403
Dompierre(FR),937,4.4,210.6,46.8520859,6.9907525
Dompierre(VD),250,3.2,77.9,46.7082946,6.8831226
Donat,205,4.7,43.9,46.466667,9.466667
Donneloye,739,9.0,82.0,46.7429065,6.7140683
Doppleschwand,746,7.0,107.0,47.0186765,8.0556121
Dorénaz,834,12.5,66.3,46.1490948,7.0424098
Dorf,621,5.5,111.9,47.5728635,8.6475778
Dornach,6468,5.8,1121.0,47.4790491,7.6170412
Dottikon,3710,3.9,956.2,47.3830192,8.2430405
Dotzigen,1408,4.2,333.6,47.1205168,7.3416822
Dozwil,675,1.3,511.4,47.5759808,9.3199786
DreiHöfe,745,4.5,163.4,47.166667,7.633333
Dübendorf,25801,13.6,1894.3,47.3971476,8.6180128
Düdingen,7664,30.8,249.0,46.8464198,7.1910179
Dürnten,7181,10.2,702.6,47.266564,8.8505112
Dürrenäsch,1189,5.9,201.2,47.3214469,8.1568605
Dürrenroth,1066,14.0,75.5,47.0886138,7.7916239
Duggingen,1431,5.9,243.8,47.4527468,7.6050304
Duillier,1052,4.1,256.0,46.4095455,6.2367825
Dulliken,4765,6.0,786.3,47.3492274,7.944903
Dully,570,1.6,343.4,46.4322894,6.2971136
Ebersecken,402,8.6,47.0,47.1831943,7.9314653
Ebikon,12602,9.7,1301.9,47.0813181,8.3407402
Ebnat-Kappel,4977,43.6,114.3,47.265485,9.1235471
Echallens,5391,6.7,809.5,46.6410996,6.6344508
Echandens,2234,3.9,575.8,46.5352022,6.5418995
Echarlens,784,4.6,169.3,46.645485,7.076872
Echichens,2556,13.3,192.9,46.5260528,6.4982512
Eclépens,1017,5.8,175.0,46.6525234,6.5296659
Ecublens(FR),320,4.9,65.3,46.6100401,6.8085792
Ecublens(VD),12001,5.7,2101.8,46.5296363,6.5615252
Ederswiler,118,3.3,35.6,47.4265145,7.3355648
Effingen,592,6.9,86.4,47.4886223,8.10427
Egerkingen,3308,6.9,476.7,47.3214014,7.7936947
Egg,8296,14.5,572.1,47.2995246,8.6903921
Eggenwil,915,2.5,372.0,47.3702231,8.3401721
Eggerberg,339,6.0,57.1,46.3071455,7.8810105
Eggersriet,2243,8.9,252.0,47.4426685,9.4719247
Eggiwil,2433,60.3,40.3,46.8750854,7.7957834
Eglisau,4942,9.1,545.5,47.5762223,8.5219809
Egliswil,1326,6.3,210.8,47.3492167,8.1879722
Egnach,4466,18.5,242.5,47.5287304,9.3698905
Egolzwil,1329,4.2,318.7,47.1847143,8.0071833
Ehrendingen,4519,7.3,619.9,47.4972188,8.342054
