LIBMIN,PMUN13,SURFACE,DENSITE
Berlingen,866,3.6,243.3
Bern,128848,51.6,2496.1
Berneck,3798,5.6,674.6
Bernex,9758,13.0,753.5
Berolle,298,9.6,31.0
Beromünster,6112,42.2,144.9
Besenbüren,576,2.4,242.0
Bettenhausen,679,4.0,172.3
Bettens,434,3.8,115.7
Bettingen,1150,2.2,515.7
Bettlach,4835,12.2,396.0
Bettmeralp,439,29.4,15.0
Bettwiesen,1149,3.9,298.4
Bettwil,561,4.3,132.0
Beurnevésin,131,5.1,25.7
Bevaix,3872,10.8,359.2
Bever,633,45.7,13.8
Bévilard,1730,5.8,304.6
Bex,6848,96.6,70.9
Biasca,6164,59.1,104.2
Biberist,8124,12.2,660.5
Biberstein,1492,4.1,363.0
Bichelsee-Balterswil,2757,12.2,224.7
Biel-Benken,3255,4.1,790.0
Biel/Bienne,53031,21.3,2497.9
Bière,1508,25.0,60.3
Biezwil,331,4.2,79.2
Biglen,1747,3.6,486.6
Billens-Hennens,670,4.9,137.6
Binn,153,65.0,2.4
Binningen,14905,4.5,3364.6
Bioggio,2560,6.5,398.1
Bioley-Magnoux,184,4.3,43.1
Bioley-Orjulaz,456,3.1,146.6
Birmensdorf(ZH),6087,11.4,532.5
Birmenstorf(AG),2856,7.8,366.6
Birr,4318,5.0,855.0
Birrhard,663,3.0,221.7
Birrwil,1003,3.4,293.3
Birsfelden,10234,2.5,4061.1
Birwinken,1326,12.3,107.4
Bischofszell,5689,11.7,489.6
Bissone,879,1.8,483.0
Bister,30,5.8,5.1
Bitsch,856,4.1,212.9
Bivio,196,76.7,2.6
Blatten,290,90.7,3.2
Blauen,688,7.1,96.5
Bleienbach,661,5.7,116.2
Blenio,1708,202.2,8.5
Blitzingen,76,11.8,6.4
Blonay,6069,16.0,377.2
Blumenstein,1163,15.5,74.9
Bodio,1042,6.4,161.8
Böbikon,163,2.6,62.9
Böckten,792,2.3,347.4
Boécourt,893,12.3,72.3
Bönigen,2520,15.1,166.7
Bösingen,3309,14.3,230.8
Böttstein,3711,7.5,500.8
Bözberg,1539,15.6,99.2
Bözen,746,3.9,188.9
Bofflens,186,4.2,44.1
Bogis-Bossey,884,2.5,360.8
Bolken,583,2.1,275.0
Bolligen,6078,16.6,367.0
Boltigen,1313,77.0,17.0
Bonaduz,3036,14.5,210.8
Boncourt,1253,9.0,139.1
Bonfol,675,13.6,49.7
Boningen,729,2.8,262.2
Boniswil,1409,2.4,584.6
Bonstetten,5260,7.5,707.9
Bonvillars,515,7.5,68.3
Boppelsen,1311,3.9,331.1
Borex,891,2.0,450.0
Bosco/Gurin,56,22.1,2.5
Bossonnens,1429,4.1,348.5
Boswil,2603,11.8,221.2
Bottens,1229,6.9,178.4
Bottenwil,787,5.1,154.3
Botterens,521,4.2,125.5
Bottighofen,2124,2.4,888.7
Bottmingen,6314,3.0,2111.7
Boudry,5293,16.7,315.6
Bougy-Villars,423,1.8,239.0
Boulens,314,3.4,91.3
Bourg-en-Lavaux,5118,9.7,530.4
Bourg-Saint-Pierre,194,90.2,2.2
Bournens,334,3.9,85.6
Bourrignon,269,13.6,19.9
Boussens,915,3.2,290.5
Bovernier,835,12.9,64.9
Bowil,1357,14.7,92.4
Braggio,51,6.9,7.4
Braunau,726,9.2,79.2
Bregaglia,1564,251.4,6.2
Breggia,1966,25.6,77.2
Breil/Brigels,1290,50.8,25.4
Breitenbach,3635,6.8,534.6
Bremblens,486,3.0,167.6
Bremgarten(AG),7669,11.3,675.1
BremgartenbeiBern,4329,1.9,2266.5
Brenles,145,3.8,37.9
Brenzikofen,520,2.2,236.4
Bretigny-sur-Morrens,740,2.9,258.7
Bretonnières,233,5.5,42.8
Bretzwil,759,7.4,103.5
Brienz(BE),2998,48.0,62.5
Brienz/Brinzauls,128,13.4,9.6
Brienzwiler,481,17.6,27.2
Brig-Glis,12823,38.0,336.7
Brione(Verzasca),193,48.5,4.0
BrionesopraMinusio,527,3.8,137.2
Brislach,1610,9.4,171.5
Brissago,1802,17.8,101.3
Brittnau,3773,13.7,275.6
Broc,2500,10.1,249.0
Brot-Dessous,105,5.0,21.2
Brot-Plamboz,247,16.1,15.4
Brügg,4251,5.0,851.9
Brünisried,651,3.2,200.3
Brüttelen,581,6.6,87.8
Brütten,2009,6.7,303.9
Brugg,10909,6.3,1715.3
Brunegg,687,1.5,440.4
BrusinoArsizio,472,4.1,116.8
Brusio,1116,46.3,24.1
Bubendorf,4414,10.8,408.7
Bubikon,6933,11.6,597.7
Buch(SH),313,3.8,82.6
BuchamIrchel,921,10.1,89.8
Buchberg,847,5.9,143.8
Buchegg,2524,22.8,111.5
Buchholterberg,1544,15.3,100.8
Buchillon,642,2.2,301.4
Buchrain,6143,4.8,1277.1
Buchs(AG),7407,5.3,1389.7
Buchs(SG),11938,16.0,748.5
Buchs(ZH),6201,5.9,1061.8
Buckten,692,2.0,347.7
Büetigen,775,3.6,214.7
Bühl,413,3.0,138.6
Bühler,1702,5.6,303.4
Bülach,18408,16.1,1144.1
Bünzen,1009,5.8,174.9
Bürchen,725,13.4,53.9
Büren(SO),935,6.2,150.1
BürenanderAare,3444,12.6,273.3
Bürglen(TG),3501,11.7,299.7
Bürglen(UR),3954,53.1,74.6
Büron,2280,5.4,421.4
Büsserach,2084,7.6,276.0
Bütschwil-Ganterschwil,4541,21.8,208.2
Büttenhardt,359,4.0,89.3
Büttikon,959,2.8,340.1
Bulle,20824,23.9,872.4
Bullet,603,16.9,35.8
Buochs,5314,9.9,534.1
Bure,671,13.7,49.0
Burg(AG),965,0.9,1026.6
BurgimLeimental,252,2.8,89.0
Burgdorf,15907,15.6,1019.7
Burgistein,1019,7.5,135.3
Bursinel,475,1.8,268.4
Bursins,785,3.4,232.9
Burtigny,355,5.7,62.5
Buseno,92,11.2,8.3
Bussigny,8167,4.8,1694.4
Bussnang,2196,19.0,116.1
BusswilbeiMelchnau,194,2.8,67.6
Bussy(FR),406,3.6,112.8
Bussy-Chardonney,382,3.1,125.2
Bussy-sur-Moudon,185,3.1,59.9
Buttisholz,3307,16.8,197.6
Buttwil,1159,4.5,256.4
Buus,980,8.9,110.7
Cademario,747,3.9,188.6
Cadempino,1512,0.8,1989.5
Cadenazzo,2544,8.4,303.9
Cama,562,15.1,37.5
Camorino,2749,8.3,332.0
Campo(Vallemaggia),51,43.3,1.2
Canobbio,2065,1.3,1588.5
Capriasca,6458,36.3,177.7
Carouge(GE),20630,2.7,7640.7
Carrouge(VD),1093,5.4,201.7
Cartigny,861,4.4,196.6
Caslano,4256,2.8,1498.6
Castaneda,240,3.9,60.6
CastelSanPietro,2069,11.8,174.9
Casti-Wergenstein,53,25.6,2.1
Cauco,35,10.9,3.2
Cazis,2170,31.2,69.6
Celerina/Schlarigna,1488,24.0,61.9
Céligny,657,4.7,141.3
Centovalli,1177,51.4,22.9
Cerentino,61,20.1,3.0
Cevio,1163,151.3,7.7
Châbles,718,4.8,151.5
Chalais,3286,24.5,134.3
Cham,15375,17.8,868.2
Chamblon,581,2.9,203.1
Chamoson,3365,32.4,103.6
Champagne,1001,3.9,255.4
Champéry,1256,39.0,32.3
Champoz,157,7.2,21.9
Champtauroz,137,3.0,44.9
Champvent,589,9.0,65.2
Chancy,1373,5.4,256.2
Chapelle(Glâne),262,2.0,129.1
Chardonne,2824,10.3,273.6
Charrat,1552,7.6,203.9
Château-d'Oex,3358,113.6,29.5
Châtel-Saint-Denis,6275,47.9,131.0
Châtel-sur-Montsalvens,254,2.0,124.5
Châtelat,105,4.2,25.3
Châtillon(FR),408,1.3,311.5
Châtillon(JU),453,5.3,85.3
Châtonnaye,738,6.3,117.0
Chavannes-de-Bogis,1210,2.9,424.6
