LIBMIN,PMUN13,SURFACE,DENSITE
Gontenschwil,2038,9.8,209.2
Gordola,4480,7.0,636.4
Gorduno,747,9.2,81.0
Gorgier,2001,14.0,143.1
Gossau(SG),18087,27.5,657.5
Gossau(ZH),9714,18.3,531.7
Gottlieben,306,0.4,927.3
Goumoëns,934,10.7,87.4
Graben,317,3.2,100.3
Grabs,6982,54.7,127.7
Grächen,1396,14.3,97.5
Gränichen,7185,17.3,416.8
Grafschaft,183,22.6,8.1
Grancia,505,0.6,801.6
Grancy,406,5.7,71.4
Grandcour,822,10.2,80.5
Grandevent,226,3.5,65.5
Grandfontaine,381,8.9,42.4
Grandson,3202,7.9,407.4
Grandval,362,8.2,43.9
Grandvillard,772,24.2,32.0
Granges(Veveyse),829,4.5,185.9
Granges-Paccot,3102,4.0,775.5
Grangettes,197,3.4,59.5
Gravesano,1243,0.6,1801.4
Greifensee,5308,2.3,2287.9
Grellingen,1786,3.3,539.6
Grenchen,16401,26.1,630.6
Greng,176,1.0,181.4
Grengiols,464,58.5,7.9
Grens,380,2.6,148.4
Greppen,1043,3.3,314.2
Gresso,41,11.1,3.7
Gretzenbach,2531,5.8,436.4
Grimisuat,3038,4.5,684.2
Grindel,458,3.0,149.7
Grindelwald,3768,171.1,22.0
Grolley,1886,5.3,353.2
Grône,2253,21.1,106.6
Grono,997,14.8,67.3
Grossaffoltern,2887,15.1,192.1
Grossdietwil,836,10.2,82.0
Grosshöchstetten,3433,3.4,992.2
Grosswangen,3097,19.7,157.1
Grub(AR),1020,4.2,241.7
Grüningen,3283,8.8,373.5
Grüsch,1953,43.3,45.1
Gruyères,2077,28.4,73.2
Gryon,1241,15.2,81.5
Gsteig,987,62.4,15.8
Gsteigwiler,422,7.0,60.1
Guarda,161,31.5,5.1
Gudo,831,9.9,83.6
Gündlischwand,314,16.9,18.6
Günsberg,1135,5.3,216.2
Güttingen,1491,9.5,157.1
Guggisberg,1556,54.9,28.3
Gunzgen,1646,3.9,417.8
Gurbrü,253,1.8,137.5
Gurmels,4030,17.2,233.1
Gurtnellen,571,83.4,6.9
Gurzelen,809,4.5,178.2
Guttannen,321,200.7,1.6
Guttet-Feschel,432,10.5,41.1
Gy,497,3.2,151.5
Habkern,648,51.1,12.7
Habsburg,410,2.2,183.9
Häfelfingen,273,3.9,68.9
Hägendorf,4702,13.9,337.3
Häggenschwil,1223,9.2,134.4
Hägglingen,2334,7.8,301.2
Härkingen,1453,5.6,264.2
Häutligen,248,3.0,80.8
Hagenbuch,1085,8.2,133.6
Hagneck,405,1.8,221.3
Haldenstein,1001,18.6,53.9
Hallau,2071,15.3,135.2
Hallwil,784,2.2,358.0
Halten,863,1.9,471.6
Hasle(LU),1732,40.3,43.0
HaslebeiBurgdorf,3262,21.9,149.0
Hasliberg,1214,41.7,29.1
Hauenstein-Ifenthal,315,5.3,58.9
Hauptwil-Gottshaus,1905,12.5,152.5
Hausen(AG),3299,3.2,1027.7
HausenamAlbis,3431,13.7,251.9
Haut-Intyamon,1445,60.5,23.9
Haut-Vully,1360,7.6,179.4
Haute-Ajoie,987,36.5,27.1
Haute-Sorne,6828,71.1,96.1
Hauterive(FR),2367,11.9,198.2
Hauterive(NE),2579,2.2,1216.5
Hauteville,583,10.6,55.4
Hedingen,3595,6.5,550.5
Hefenhofen,1234,6.1,204.0
Heiden,4031,7.5,539.6
Heiligenschwendi,693,5.6,124.9
Heimberg,6585,5.4,1217.2
Heimenhausen,1021,5.8,174.5
Heimiswil,1604,23.4,68.7
Heitenried,1377,9.1,151.0
Hellikon,784,7.1,111.2
Hellsau,191,1.5,129.1
Hemberg,924,20.2,45.8
Hemishofen,441,7.9,55.8
Hemmiken,263,3.4,77.6
Hendschiken,1050,3.5,298.3
Henggart,2275,3.1,748.4
Henniez,266,2.6,101.9
Herbetswil,541,16.4,33.2
Herbligen,581,2.7,210.5
Herdern,995,13.7,72.8
Hérémence,1376,107.6,12.8
Hergiswil(NW),5578,14.2,389.8
HergiswilbeiWillisau,1860,31.3,59.4
Herisau,15342,25.2,608.8
Hermance,966,1.5,670.8
Hermenches,368,4.8,77.1
Hermiswil,93,1.1,89.4
Hermrigen,258,3.5,75.4
Herrliberg,6173,9.0,687.4
Hersberg,330,1.7,197.6
Herznach,1399,6.3,222.8
Herzogenbuchsee,6979,9.8,710.0
Hettlingen,3013,5.8,510.7
Hildisrieden,2015,7.0,285.8
Hilterfingen,4058,2.8,1439.0
Himmelried,933,6.0,155.5
Hindelbank,2304,6.7,342.3
Hinterrhein,63,48.4,1.3
Hinwil,10751,22.3,482.1
Hirschthal,1485,3.5,420.7
Hirzel,2146,9.7,220.8
Hittnau,3562,13.0,274.6
Hitzkirch,4942,24.6,200.0
Hochdorf,9101,9.6,946.0
Hochfelden,2009,6.2,326.1
Hochwald,1277,8.3,153.5
Höchstetten,272,2.6,103.0
Hölstein,2368,6.0,392.7
Höri,2636,4.8,551.5
Hofstetten(ZH),481,8.9,54.5
HofstettenbeiBrienz,533,8.7,60.8
Hofstetten-Flüh,3136,7.5,417.0
Hohenrain,2490,23.4,107.1
Hohentannen,621,8.0,77.6
Holderbank(AG),1024,2.3,441.4
Holderbank(SO),631,7.8,81.3
Holziken,1285,2.9,449.3
Homberg,510,6.5,78.5
Hombrechtikon,8200,12.2,673.2
Homburg,1478,24.1,61.2
Honau,376,1.3,300.8
Horgen,19608,21.1,928.8
Horn,2611,1.7,1518.0
Hornussen,882,7.3,121.3
Horrenbach-Buchen,251,20.4,12.3
Horriwil,861,2.6,327.4
Horw,13790,12.8,1074.0
Hospental,202,35.0,5.8
Hubersdorf,740,1.4,544.1
Hünenberg,8802,18.4,477.1
Hüniken,86,1.0,85.1
Hüntwangen,1005,4.9,204.7
Hütten,908,7.2,124.6
Hüttikon,681,1.6,428.3
Hüttlingen,816,11.6,70.3
Hüttwilen,1587,17.7,89.9
Humlikon,482,3.7,131.0
Hundwil,976,24.1,40.7
Hunzenschwil,3509,3.3,1076.4
Huttwil,4702,17.3,272.7
Icogne,548,25.0,22.1
Iffwil,417,5.0,82.4
Ilanz/Glion,4620,133.4,34.6
Illgau,801,10.9,73.6
Illnau-Effretikon,16279,25.3,643.7
Inden,126,9.9,12.8
Ingenbohl,8640,13.5,643.3
Inkwil,622,3.4,185.1
Innerthal,193,50.2,3.8
Innertkirchen,1041,236.6,4.4
Ins,3345,23.9,140.2
Interlaken,5659,4.4,1316.0
Inwil,2387,10.3,231.3
Ipsach,4032,1.9,2111.0
Iragna,552,18.3,30.0
Iseltwald,426,21.9,19.5
Isenthal,519,61.0,8.5
Isérables,879,15.3,57.7
Islisberg,605,1.7,364.5
Isone,397,12.9,31.0
Isorno,324,17.1,18.9
Itingen,2048,3.1,652.2
Ittigen,11067,4.2,2628.7
Jaberg,255,1.3,193.2
Jaun,670,55.2,12.1
Jegenstorf,5466,13.5,404.9
Jenaz,1147,26.0,44.3
Jenins,896,10.5,85.0
Jens,676,4.6,147.6
Jeuss,420,1.8,236.0
Jonen,1975,5.7,346.5
Jongny,1449,2.2,670.8
Jonschwil,3736,11.1,339.3
Jorat-Menthue,1417,17.7,80.3
Jouxtens-Mézery,1365,1.9,707.3
Juriens,293,9.3,31.3
Jussy,1237,11.4,109.0
Känerkinden,483,1.4,326.4
Kaiseraugst,5524,4.9,1125.1
Kaiserstuhl,397,0.3,1240.6
Kaisten,2558,18.1,141.5
Kallern,319,2.7,119.0
Kallnach,1911,15.2,125.9
Kaltbrunn,4621,18.6,247.5
Kammersrohr,34,0.9,35.8
Kandergrund,777,32.0,24.2
Kandersteg,1271,134.5,9.4
Kappel(SO),2958,5.1,581.1
KappelamAlbis,956,7.8,120.9
Kappelen,1353,10.9,123.4
Kaufdorf,1020,2.1,495.1
Kehrsatz,4164,4.4,937.8
Kemmental,2320,25.1,92.7
Kernenried,447,3.3,134.2
Kerns,5943,92.6,64.2
Kerzers,4774,12.2,390.4
Kesswil,996,4.4,222.8
Kestenholz,1739,8.6,202.7
Kienberg,526,8.6,61.7
Kiesen,900,4.7,192.3
Kilchberg(BL),157,1.6,98.7
Kilchberg(ZH),7809,2.6,3026.7
Killwangen,1897,2.4,780.7
Kippel,364,11.7,31.2
Kirchberg(BE),5786,9.1,640.0
Kirchberg(SG),8522,42.6,200.2
Kirchdorf(BE),868,6.1,141.6
Kirchenthurnen,275,1.3,220.0
Kirchleerau,777,4.4,178.2
Kirchlindach,2887,11.9,241.6
Kleinandelfingen,2046,10.3,198.3
Kleinbösingen,595,3.0,197.7
Kleinlützel,1259,16.3,77.3
Klingnau,3251,6.7,484.5
Klosters-Serneus,3863,193.2,20.0
Kloten,18400,19.3,954.9
Knonau,2007,6.5,310.2
Knutwil,2090,9.8,214.8
Koblenz,1583,4.1,388.0
Kölliken,4265,8.8,479.8
Köniz,39794,51.1,780.1
Konolfingen,4929,12.8,385.4
Koppigen,2080,6.9,300.1
Kradolf-Schönenberg,3401,10.9,310.3
Krattigen,1077,6.0,178.6
Krauchthal,2289,19.4,117.8
Kreuzlingen,20846,11.5,1814.3
Kriechenwil,427,4.8,89.9
Kriegstetten,1270,1.1,1114.0
Kriens,26957,27.3,986.0
Küblis,862,8.1,105.9
Künten,1673,4.9,342.1
Küsnacht(ZH),13658,12.3,1105.9
Küssnacht(SZ),12426,29.5,423.2
Küttigen,5935,11.9,499.2
Kyburg,407,7.6,53.3
L'Abbaye,1365,31.9,42.8
L'Abergement,242,5.8,41.9
L'Isle,1012,16.3,62.4
LaBaroche,1179,31.1,37.9
LaBrévine,655,42.0,15.7
LaBrillaz,1805,10.3,175.4
LaChaux(Cossonay),425,6.8,63.0
LaChaux-de-Fonds,38699,55.7,695.3
LaChaux-des-Breuleux,99,4.1,24.4
LaChaux-du-Milieu,483,17.3,28.0
LaCôte-aux-Fées,468,12.9,36.4
LaFerrière,553,14.2,39.1
LaFolliaz,935,9.9,94.8
LaHeutte,485,8.1,60.0
LaNeuveville,3611,6.8,529.5
LaPraz,151,5.1,29.5
LaPunt-Chamues-ch,770,63.2,12.2
LaRippe,1076,16.6,64.8
LaRoche,1517,24.0,63.0
LaSagne,940,25.6,36.8
LaSarraz,2449,7.7,317.6
LaSonnaz,1030,6.9,149.3
LaTène,4834,5.4,888.6
LaTour-de-Peilz,10993,3.3,3392.9
LaVerrerie,1154,13.4,86.2
Laax,1506,31.7,47.5
Lachen,8126,2.4,3357.9
Laconnex,602,3.8,157.2
Läufelfingen,1269,8.2,155.7
Lajoux(JU),683,12.4,55.2
Lalden,671,1.3,524.2
Lamone,1781,1.8,957.5
Lampenberg,507,4.0,127.1
Lancy,29350,4.8,6153.0
Landiswil,635,10.3,61.9
Landquart,8498,18.9,450.6
Langenbruck,974,15.7,62.1
Langendorf,3761,2.0,1948.7
Langenthal,15291,17.3,885.9
LangnauamAlbis,7330,8.7,845.4
LangnauimEmmental,9103,48.5,188.1
Langrickenbach,1226,10.9,113.0
Lantsch/Lenz,529,21.8,24.3
Lauenen,816,58.7,13.9
Lauerz,1060,9.2,114.8
Laufen,5365,11.3,471.9
Laufen-Uhwiesen,1622,6.3,258.7
Laufenburg,3307,14.5,228.1
Laupen,2852,4.1,692.2
Laupersdorf,1682,15.5,108.4
Lauperswil,2642,21.1,124.6
Lausanne,132788,41.3,3209.0
Lausen,4996,5.6,898.6
Lauterbrunnen,2439,164.4,14.8
Lauwil,331,7.3,45.5
Lavertezzo,1222,58.1,21.0
Lavey-Morcles,879,14.1,61.9
Lavigny,899,4.0,224.8
Lavin,226,46.2,4.9
Lavizzara,563,187.5,3.0
Lax,287,5.0,57.2
LeBémont(JU),319,11.6,27.3
LeCerneux-Péquignot,322,15.7,20.5
LeChâtelard,373,7.5,49.7
LeChenit,4442,99.2,44.8
LeFlon,1153,9.5,120.4
LeGlèbe,1238,10.3,119.4
LeGrand-Saconnex,11911,4.4,2719.4
LeLanderon,4513,10.3,437.7
LeLieu,850,32.5,26.1
LeLocle,10425,23.1,450.5
LeMont-sur-Lausanne,6697,9.8,682.0
LeMouret,3051,18.5,164.6
LeNoirmont,1786,20.4,87.6
LePâquier(FR),1110,4.5,247.2
LeVaud,1231,3.1,395.8
Léchelles,666,8.8,76.1
Leggia,127,9.2,13.8
Leibstadt,1284,6.4,200.9
Leimbach(AG),466,1.1,405.2
Leissigen,964,10.4,93.1
Lengnau(AG),2615,12.6,206.4
Lengnau(BE),4672,7.3,633.1
Lengwil,1493,8.8,167.9
Lenk,2454,123.0,19.9
Lens,3917,13.9,281.6
Lenzburg,8832,11.4,779.5
LesAgettes,318,5.1,62.5
LesBois,1151,24.7,46.5
LesBrenets,1079,11.6,93.6
LesBreuleux,1445,10.8,133.7
LesClées,166,7.1,23.6
LesEnfers,145,7.1,20.3
LesGenevez(JU),534,13.6,39.2
LesMontets,1358,10.3,131.7
LesPlanchettes,220,11.7,18.8
LesPonts-de-Martel,1276,18.3,70.0
LesVerrières,704,28.8,24.5
Leuggern,2134,13.7,155.1
Leuk,3724,55.3,67.3
Leukerbad,1535,67.2,22.8
Leutwil,741,3.8,197.6
Leuzigen,1208,10.3,117.2
Leysin,4096,18.5,220.6
Leytron,2972,26.9,110.7
Lichtensteig,1949,2.8,691.1
Liddes,744,60.2,12.4
Liedertswil,165,2.0,85.1
Liesberg,1180,12.5,94.5
Liestal,13807,18.2,759.0
Ligerz,539,1.8,299.4
Lignerolle,382,10.6,35.8
Lignières,949,12.5,75.9
Lindau,5308,11.9,442.7
Linden,1312,13.3,99.2
Linescio,51,6.6,7.7
Locarno,15671,19.4,813.2
Lodrino,1742,31.6,55.3
Löhningen,1368,6.9,199.4
Lohn(GR),40,8.1,4.9
Lohn(SH),740,4.9,151.6
Lohn-Ammannsegg,2639,4.5,593.0
Lohnstorf,220,1.8,122.2
Lommis,1177,8.6,136.9
Lommiswil,1472,5.8,254.7
Lonay,2493,3.7,672.0
Longirod,426,9.5,45.1
Losone,6499,9.5,682.0
Lostallo,735,50.9,14.5
Lostorf,3804,13.3,286.9
Lotzwil,2468,6.2,397.4
Lovatens,137,3.5,39.5
Loveresse,321,4.8,68.0
Lucens,3163,7.8,401.9
Lüscherz,531,5.4,97.3
Lüsslingen-Nennigkofen,991,7.8,126.9
Lüterkofen-Ichertswil,715,4.4,161.8
Lüterswil-Gächliwil,322,3.1,105.6
Lütisburg,1443,14.0,102.8
Lütschental,235,12.4,19.0
Lützelflüh,4079,26.9,151.6
Lufingen,1873,5.2,360.9
Lugano,62792,75.9,826.4
Lugnez,190,5.1,37.3
Luins,598,2.7,224.0
Lully(FR),1050,5.5,190.9
Lully(VD),759,2.0,370.2
Lumino,1370,10.0,137.7
Lumnezia,2118,165.4,12.8
Lungern,2087,46.6,44.9
Lupfig,2187,5.1,424.7
Lupsingen,1370,3.2,439.1
Lurtigen,180,2.3,77.6
Lussery-Villars,395,3.7,105.9
Lussy-sur-Morges,643,2.4,274.8
Luterbach,3405,4.5,753.3
Luthern,1330,37.9,35.2
Lutry,9511,8.5,1125.6
Lutzenberg,1253,2.3,554.4
Luzein,1237,31.6,39.1
Luzern,80501,29.1,2770.2
Lyss,14200,14.9,957.5
Lyssach,1398,6.1,230.7
Madiswil,3161,23.2,136.4
Madulain,227,16.4,13.9
Mägenwil,2060,3.5,592.0
Männedorf,10492,4.8,2199.6
Märstetten,2734,9.9,274.2
Magden,3824,11.0,347.3
Maggia,2554,111.1,23.0
Magliaso,1501,1.1,1377.1
Maienfeld,2687,32.4,83.1
Maisprach,938,5.0,185.0
Maladers,486,7.6,64.0
Malans,2340,11.4,205.3
Malleray,1972,10.2,192.2
Malters,6911,28.6,241.4
Mammern,614,5.4,113.3
Mandach,309,5.6,55.7
Manno,1270,2.4,533.6
Maracon,453,4.4,103.4
Marbach(SG),2103,4.4,479.0
Marchissy,445,11.9,37.1
Marly,7919,7.7,1028.4
Marmorera,31,19.0,1.6
Maroggia,601,1.0,601.0
Marsens,1742,7.8,223.0
Marthalen,1987,14.2,140.4
Martigny,17215,24.9,689.4
Martigny-Combe,2314,37.7,61.5
Maschwanden,664,4.7,141.6
Masein,443,4.2,105.5
Massagno,6119,0.7,8382.2
Massongex,1699,6.6,256.3
Massonnens,487,4.2,114.6
Mathod,548,6.6,83.2
Mathon,50,15.1,3.3
Matran,1568,2.9,548.3
MattenbeiInterlaken,3728,6.0,631.9
Mattstetten,580,3.8,152.6
Matzendorf,1298,11.3,115.4
Matzingen,2568,7.7,333.1
Mauborget,110,5.5,20.0
Mauensee,1156,7.2,161.5
Maur,9728,14.8,658.2
Mauraz,52,0.5,104.0
Medel(Lucmagn),408,136.2,3.0
Meggen,6762,7.3,928.8
Meienried,53,0.7,80.3
Meierskappel,1374,6.8,202.4
Meikirch,2430,10.3,237.5
Meilen,13082,11.9,1095.6
Meinier,2066,7.0,296.8
Meinisberg,1318,4.5,298.2
Meiringen,4676,40.7,115.2
Meisterschwanden,2712,4.3,635.1
Melano,1418,4.7,305.6
Melchnau,1525,10.4,148.1
Melide,1739,1.6,1041.3
Mellikon,249,2.7,91.9
Mellingen,4887,4.8,1003.5
Mels,8580,139.2,61.7
Meltingen,639,5.8,111.1
Mendrisio,14789,31.9,462.0
Ménières,353,4.4,80.6
Menziken,5697,6.4,891.5
Menzingen,4329,27.5,157.4
Menznau,2892,30.4,95.2
Merenschwand,3412,13.6,252.6
Mergoscia,222,12.2,18.3
Merishausen,828,17.5,47.2
Mervelier,529,9.8,54.1
Merzligen,390,2.3,171.1
Mesocco,1297,164.8,7.9
Messen,1411,11.9,118.7
Mettauertal,1911,21.6,88.5
Mettembert,112,2.4,48.3
Mettmenstetten,4423,13.1,340.0
Metzerlen-Mariastein,919,8.5,108.2
Mex(VD),651,2.9,230.0
Meyriez,584,0.3,1717.6
Meyrin,21866,9.9,2199.8
Mézières(FR),1011,9.0,113.2
Mézières(VD),1170,3.5,336.2
Mezzovico-Vira,1308,10.2,128.1
Miège,1370,2.5,541.5
Mies,1929,3.5,559.1
Miglieglia,289,5.1,56.3
Milvignes,8975,8.8,1022.2
Minusio,7251,5.9,1239.5
Mirchel,601,2.4,255.7
Misery-Courtion,1677,11.4,147.0
Missy,319,3.1,102.6
Möhlin,10574,18.9,562.7
Mönchaltorf,3472,7.6,456.8
Mönthal,389,3.9,99.0
Mörel-Filet,703,8.4,83.3
Mörigen,867,2.2,401.4
Möriken-Wildegg,4268,6.6,646.7
Mörschwil,3586,9.9,364.8
Mötschwil,131,2.9,44.4
Moiry,260,6.7,39.0
Moleno,115,7.4,15.4
Mollens(VD),291,11.1,26.5
Mollens(VS),933,32.5,28.7
Molondin,213,5.5,38.8
Mon,90,8.5,10.6
Monible,36,3.4,10.6
Mont-la-Ville,349,19.8,17.7
Mont-Noble,960,43.0,22.3
Mont-sur-Rolle,2581,3.9,670.4
Mont-Tramelan,113,4.7,24.4
Montagny(FR),2204,17.5,125.8
Montagny-près-Yverdon,705,3.5,200.3
Montalchez,252,6.4,39.3
Montana,2398,4.9,490.4
Montanaire,2399,33.5,71.7
Montcherand,471,3.0,153.9
MonteCarasso,2802,9.7,290.7
Monteceneri,4530,37.0,122.3
Monteggio,892,3.4,265.5
Montet(Glâne),399,2.2,182.2
Montfaucon,571,18.3,31.3
Montherod,504,5.0,101.4
Monthey,17113,28.6,597.7
Montilliez,1595,11.8,134.4
Montpreveyres,539,4.1,131.5
Montreux,25969,33.4,778.2
Montricher,893,26.0,34.4
Moosleerau,913,3.9,239.6
Moosseedorf,3763,6.3,592.6
MorbioInferiore,4631,2.3,2022.3
Morcote,707,2.8,252.5
Morens(FR),142,2.6,54.6
Morges,15251,3.9,3961.3
Morlon,571,2.5,230.2
Morrens(VD),991,3.7,270.8
Morschach,1105,20.8,53.1
Mosnang,2829,50.6,56.1
Mosogno,51,8.6,5.9
Moudon,5667,15.7,361.2
Moutier,7608,19.6,388.6
Movelier,376,8.0,46.5
Mühlau,1008,5.5,182.6
Mühleberg,2745,26.3,104.6
Mühledorf(BE),253,2.3,111.0
Mühlethurnen,1390,2.9,474.4
Müllheim,2812,8.8,322.1
Mülligen,1018,3.2,322.2
Mümliswil-Ramiswil,2486,35.5,70.0
Münchenbuchsee,9852,8.9,1117.0
Münchenstein,11688,7.2,1627.9
Münchenwiler,475,2.5,190.0
Münchwilen(AG),892,2.5,362.6
Münchwilen(TG),5086,7.8,652.9
Münsingen,11651,12.2,962.1
Münster-Geschinen,481,48.6,9.9
Münsterlingen,3156,5.4,582.3
Müntschemier,1302,4.9,266.8
Muhen,3749,7.0,534.0
Mulegns,28,33.8,0.8
Mumpf,1335,3.1,430.6
Mundaun,307,8.6,35.7
Muntelier,941,1.1,832.7
Muolen,1167,10.3,112.9
Muotathal,3482,172.2,20.2
Muralto,2811,0.6,4685.0
Murgenthal,2862,18.6,153.5
Muri(AG),7328,12.3,593.8
MuribeiBern,12901,7.7,1690.8
Muriaux,473,16.9,28.0
Murist,612,8.2,74.6
Murten,6490,13.6,477.2
Mutrux,139,3.2,43.3
Mutten,75,9.9,7.5
Muttenz,17370,16.6,1043.9
Muzzano,844,1.6,537.6
Naters,9496,147.2,64.6
Nebikon,2472,3.7,662.7
Neckertal,4036,49.0,82.3
Neerach,3032,6.0,502.8
Neftenbach,5434,15.1,361.8
Neggio,335,0.9,368.1
Nendaz,6121,85.9,71.2
Nenzlingen,421,3.7,115.0
Nesslau,3628,92.7,39.1
Neuchâtel,33756,18.1,1865.0
Neuendorf,2026,7.1,283.0
Neuenegg,4881,22.0,223.2
Neuenhof,8414,5.4,1563.9
Neuenkirch,6391,25.5,250.8
NeuhausenamRheinfall,10362,8.1,1295.3
Neuheim,2024,7.9,255.6
Neunforn,960,11.4,84.5
Neunkirch,2023,17.9,112.9
Neyruz(FR),2387,5.5,430.9
Nidau,6766,1.5,4451.3
Niederbipp,4371,17.5,251.6
Niederbuchsiten,981,5.5,179.0
Niederbüren,1499,15.8,94.6
Niederdorf,1730,4.4,392.3
Niedergesteln,689,17.5,39.5
Niederglatt,4657,3.6,1290.0
Niedergösgen,3766,4.3,869.7
Niederhasli,8871,11.3,785.7
Niederhelfenschwil,2918,16.3,178.7
Niederhünigen,611,5.4,112.9
Niederlenz,4385,3.3,1328.8
Niedermuhlern,471,7.2,65.0
Niederönz,1548,2.8,552.9
Niederösch,234,4.6,50.5
NiederriedbeiInterlaken,340,4.3,79.3
Niederrohrdorf,3645,3.4,1094.6
Niederwald,45,4.7,9.6
Niederweningen,2787,6.9,406.9
Niederwil(AG),2535,6.1,412.2
Nods,738,26.6,27.7
Noflen,290,2.7,106.6
Noréaz,611,6.9,88.6
Nottwil,3432,10.3,333.5
Novaggio,814,4.4,188.9
Novalles,105,2.1,51.0
Novazzano,2402,5.2,463.7
Noville,912,10.3,88.1
Nürensdorf,5328,10.1,531.2
Nufenen,156,28.1,5.6
Nuglar-St.Pantaleon,1480,6.3,233.4
Nunningen,1837,10.3,177.7
Nusshof,248,1.7,144.2
Nuvilly,394,4.0,98.5
Nyon,19502,6.9,2872.2
Oberägeri,5828,30.1,194.1
Oberbalm,879,12.4,70.8
Oberbipp,1642,8.5,193.9
Oberbuchsiten,2054,9.4,218.5
Oberbüren,4190,17.8,236.7
Oberburg,2937,14.2,208.0
Oberdiessbach,3441,16.5,209.1
Oberdorf(BL),2341,6.2,378.2
Oberdorf(NW),3110,16.2,191.4
Oberdorf(SO),1655,12.0,138.5
Oberegg,1891,14.7,128.9
Oberembrach,1094,10.2,106.7
Oberems,126,50.2,2.5
Oberengstringen,6464,2.1,2992.6
Oberentfelden,7721,7.2,1078.4
Obergerlafingen,1130,1.5,743.4
Oberglatt,6474,8.2,784.7
Obergösgen,2151,3.6,590.9
Obergoms,662,155.8,4.2
Oberhallau,433,6.0,71.8
Oberhelfenschwil,1319,12.7,104.2
Oberhof,588,8.2,71.6
OberhofenamThunersee,2389,2.8,878.3
Oberhünigen,317,6.0,52.7
Oberiberg,858,32.8,26.0
Oberkirch,3892,9.1,427.7
Oberkulm,2551,9.4,271.1
Oberlangenegg,473,9.1,51.9
Oberlunkhofen,1954,3.3,601.2
Obermumpf,1004,5.0,199.6
Oberösch,109,2.1,50.7
OberriedamBrienzersee,463,20.0,23.0
Oberrieden,4975,2.8,1783.2
Oberriet(SG),8533,34.5,247.1
Oberrohrdorf,3981,4.3,928.0
Oberrüti,1413,5.3,263.1
Obersaxen,820,61.5,13.3
Oberschrot,1159,5.3,216.6
Obersiggenthal,8586,8.4,1027.0
Oberstammheim,1151,9.4,122.2
Obersteckholz,424,3.9,108.7
Oberthal,751,10.6,71.3
Oberuzwil,6193,14.1,439.5
Oberweningen,1756,4.9,354.7
Oberwil(BL),10775,7.9,1367.4
OberwilbeiBüren,821,6.7,122.2
OberwilimSimmental,813,46.0,17.6
Oberwil-Lieli,2193,5.4,409.9
Obfelden,4867,7.6,644.6
Ochlenberg,587,12.1,48.4
Oekingen,795,2.5,331.3
Oensingen,5847,12.0,484.4
Oeschenbach,237,3.9,60.8
Oeschgen,914,4.4,208.7
OetwilamSee,4590,6.1,752.5
OetwilanderLimmat,2300,2.8,833.3
Oftringen,13122,12.9,1021.2
Ogens,262,3.4,76.8
Ollon,7208,59.5,121.1
Olsberg,360,4.6,77.9
Olten,17280,11.5,1503.9
Oltingen,472,7.2,65.7
Onex,18029,2.8,6393.3
Onnens(VD),507,5.1,99.2
Onsernone,255,29.9,8.5
Opfikon,16403,5.6,2934.3
Oppens,177,3.6,49.3
Oppligen,665,3.4,195.0
Orbe,6664,12.0,554.4
Orges,262,4.0,65.2
Origlio,1435,2.1,693.2
Ormalingen,1994,6.9,287.3
Ormont-Dessous,1039,64.0,16.2
Ormont-Dessus,1472,61.7,23.9
Orny,366,5.5,65.8
Oron,5077,24.6,206.5
Orpund,2655,4.0,670.5
Orselina,762,2.0,392.8
Orsières,3156,165.0,19.1
Orvin,1201,21.6,55.6
Orzens,198,4.2,47.1
Osogna,1044,19.0,55.0
Ossingen,1357,13.1,103.6
Ostermundigen,16185,6.0,2724.7
Otelfingen,2749,7.2,383.4
Othmarsingen,2597,4.7,549.0
Ottenbach,2483,5.0,495.6
Oulens-sous-Echallens,544,5.9,92.8
Pailly,508,5.8,88.0
Pampigny,1108,11.1,99.9
Paradiso,3893,0.9,4374.2
Paspels,475,4.6,103.5
Paudex,1424,0.5,2966.7
Payerne,9275,24.2,383.4
Penthalaz,3031,3.9,783.2
Penthaz,1676,3.9,437.6
Penthéréaz,378,5.7,66.5
Perly-Certoux,3059,2.6,1209.1
Perrefitte,456,8.6,53.2
Perroy,1407,2.9,485.2
Personico,334,39.1,8.6
Péry,1359,15.7,86.5
Peseux,5771,3.5,1682.5
Pfäfers,1533,128.4,11.9
Pfäffikon,11105,19.5,568.0
Pfaffnau,2260,17.6,128.3
Pfeffingen,2270,4.9,463.3
Pfungen,3535,5.0,709.8
Pfyn,1941,13.1,147.3
Pianezzo,589,8.0,73.4
Pierrafortscha,148,5.1,29.2
Pieterlen,3917,8.3,470.8
Plaffeien,1944,59.4,32.8
Plan-les-Ouates,10261,5.8,1751.0
Plasselb,1043,18.1,57.6
PlateaudeDiesse,2031,25.6,79.5
Pleigne,368,17.8,20.6
Pohlern,261,9.9,26.4
Poliez-Pittet,760,5.0,151.7
Pollegio,762,5.9,129.4
Pompaples,811,4.4,182.2
Pomy,710,5.6,126.3
Pont-en-Ogoz,1711,10.0,170.8
Pont-la-Ville,605,4.3,140.0
PonteCapriasca,1804,6.2,291.0
PonteTresa,806,0.4,1965.9
Pontenet,217,2.7,79.5
Ponthaux,694,6.0,117.2
Pontresina,2115,118.2,17.9
Porrentruy,6780,14.8,459.7
Port,3382,2.4,1380.4
Port-Valais,3645,14.3,254.0
Porza,1595,1.6,1009.5
Poschiavo,3521,191.0,18.4
Prangins,3968,6.0,658.0
