NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,LIBMIN,PMUN16,AREA,DENSITE,SURFACE,LAT,LONG
LU000,7,710,No change,Wahl,951,19740000,48.18,19.74,49.8354684,5.9041448
LU000,8,801,No change,Boulaide,1122,32130000,34.92,32.13,49.88829,5.8151443
LU000,8,802,No change,Esch-sur-Sûre,2572,51260000,50.18,51.26,49.9112775,5.9349464
LU000,8,804,No change,Goesdorf,1466,29410000,49.85,29.41,49.9207207,5.9666759
LU000,8,805,No change,Kiischpelt,1114,33580000,33.17,33.58,49.9774214,5.9894779
LU000,8,806,No change,Lac de la Haute-Sûre,1722,48500000,35.51,48.5,49.9226663,5.8527438
LU000,8,807,No change,Wiltz,6522,39250000,166.17,39.25,49.96622,5.9324306
LU000,8,808,No change,Winseler,1162,30420000,38.20,30.42,49.9673448,5.8895012
LU000,9,901,No change,Tandel,1943,41720000,46.57,41.72,49.8967839,6.1819807
LU000,9,902,No change,Putscheid,1090,27130000,40.18,27.13,49.9595869,6.1416878
LU000,9,903,No change,Vianden,1918,9670000,198.35,9.67,49.9341924,6.2019917
LU000,10,1001,No change,Beaufort,2545,13740000,185.23,13.74,49.8353307,6.2925122
LU000,10,1002,No change,Bech,1231,23310000,52.81,23.31,49.7522074,6.3619441
LU000,10,1003,No change,Berdorf,1931,21930000,88.05,21.93,49.8205916,6.3492822
LU000,10,1004,No change,Consdorf,1902,25720000,73.95,25.72,49.7796266,6.3374009
LU000,10,1005,No change,Echternach,5249,20490000,256.17,20.49,49.8114133,6.4175635
LU000,10,1006,No change,Mompach,1283,27580000,46.52,27.58,49.7513136,6.4675489
LU000,10,1007,No change,Rosport,2222,29490000,75.35,29.49,49.8050998,6.5036157
LU000,10,1008,No change,Waldbillig,1644,23280000,70.62,23.28,49.7961798,6.2865556
LU000,11,1101,No change,Betzdorf,3637,26080000,139.46,26.08,49.6879959,6.3511727
LU000,11,1102,No change,Biwer,1857,23080000,80.46,23.08,49.705968,6.3715919
LU000,11,1103,No change,Flaxweiler,1978,30170000,65.56,30.17,49.6657409,6.3435658
LU000,11,1104,No change,Grevenmacher,4794,16480000,290.90,16.48,49.680841,6.4407593
