NUTS_3,LAU1_NAT_CODE,LAU2_NAT_CODE,CHANGE,LIBMIN,PMUN16,AREA,DENSITE,SURFACE
LU000,11,1107,No change,Mertert,4364,15250000,286.16,15.25
LU000,11,1108,No change,Wormeldange,2685,17250000,155.65,17.25
LU000,12,1201,No change,Bous,1518,15430000,98.38,15.43
LU000,12,1202,No change,Dalheim,2045,18980000,107.74,18.98
LU000,12,1203,No change,Lenningen,1800,20350000,88.45,20.35
LU000,12,1204,No change,Mondorf-les-Bains,4800,13660000,351.39,13.66
LU000,12,1205,No change,Remich,3482,5290000,658.22,5.29
LU000,12,1206,No change,Schengen,4615,31420000,146.88,31.42
LU000,12,1207,No change,Stadtbredimus,1794,10170000,176.40,10.17
LU000,12,1208,No change,Waldbredimus,929,12570000,73.91,12.57
